OD.plate,OD.row,OD.col,OD600.raw,OD750.raw,Blankstart.600,Blankstart.750,Blankend.600,Blankend.750,note
3.1.2,E,6,0.058,0.048,0.04,0.04,0.04,0.039,
3.1.2,F,6,0.126,0.105,0.04,0.04,0.039,0.039,
3.1.2,G,6,0.058,0.051,0.041,0.042,0.04,0.041,
3.1.2,H,6,0.063,0.054,0.042,0.041,0.042,0.041,
3.1.2,A,7,0.041,0.048,0.04,0.041,0.04,0.04,
3.1.2,B,7,0.492,0.442,0.039,0.039,0.039,0.039,
3.1.2,C,7,0.29,0.232,0.04,0.039,0.039,0.039,
3.1.2,D,7,0.042,0.04,0.04,0.04,0.039,0.039,
3.1.2,E,7,0.145,0.132,0.04,0.04,0.04,0.039,
3.1.2,F,7,0.231,0.206,0.04,0.04,0.039,0.039,
3.1.2,G,7,0.048,0.047,0.046,0.046,0.045,0.044,
3.1.2,H,7,0.048,0.049,0.047,0.049,0.047,0.049,
3.1.2,A,8,0.05,0.043,0.04,0.04,0.04,0.04,
3.1.2,B,8,0.049,0.041,0.04,0.039,0.039,0.038,
3.1.2,C,8,0.337,0.202,0.039,0.039,0.039,0.039,
3.1.2,D,8,0.05,0.043,0.039,0.039,0.038,0.039,
3.1.2,E,8,0.053,0.046,0.042,0.043,0.04,0.041,
3.1.2,F,8,0.149,0.096,0.041,0.042,0.04,0.04,
3.1.2,G,8,0.06,0.051,0.041,0.042,0.041,0.041,
3.1.2,H,8,0.137,0.117,0.043,0.042,0.042,0.041,
3.1.2,A,9,0.046,0.044,0.041,0.041,0.041,0.041,
3.1.2,B,9,0.054,0.05,0.04,0.039,0.039,0.039,
3.1.2,C,9,0.045,0.046,0.04,0.04,0.04,0.039,
3.1.2,D,9,0.041,0.041,0.041,0.041,0.04,0.04,
3.1.2,E,9,0.042,0.043,0.04,0.044,0.04,0.043,
3.1.2,F,9,0.042,0.04,0.04,0.039,0.04,0.039,
3.1.2,G,9,0.054,0.058,0.04,0.042,0.039,0.042,
3.1.2,H,9,0.092,0.08,0.042,0.041,0.041,0.04,
3.1.2,A,10,0.043,0.043,0.04,0.041,0.041,0.04,
3.1.2,B,10,0.042,0.041,0.039,0.04,0.039,0.039,
3.1.2,C,10,0.041,0.04,0.04,0.039,0.039,0.039,
3.1.2,D,10,0.054,0.049,0.043,0.04,0.041,0.039,
3.1.2,E,10,0.047,0.045,0.042,0.043,0.041,0.042,
3.1.2,F,10,0.047,0.042,0.038,0.037,0.04,0.038,
3.1.2,G,10,0.045,0.043,0.042,0.041,0.041,0.04,
3.1.2,H,10,0.042,0.04,0.042,0.04,0.041,0.04,
3.1.2,A,11,0.059,0.048,0.041,0.042,0.041,0.042,
3.1.2,B,11,0.063,0.049,0.044,0.044,0.039,0.04,
3.1.2,C,11,0.061,0.049,0.041,0.04,0.04,0.04,
3.1.2,D,11,0.06,0.048,0.04,0.039,0.039,0.038,
3.1.2,E,11,0.11,0.079,0.041,0.041,0.04,0.041,
3.1.2,F,11,0.058,0.051,0.043,0.045,0.042,0.044,
3.1.2,G,11,0.053,0.045,0.039,0.04,0.039,0.039,
3.1.2,H,11,0.053,0.045,0.041,0.041,0.04,0.04,
3.1.2,A,12,0.06,0.049,0.042,0.041,0.041,0.041,
3.1.2,B,12,0.057,0.046,0.039,0.039,0.039,0.038,
3.1.2,C,12,0.084,0.074,0.039,0.039,0.039,0.039,
3.1.2,D,12,0.046,0.042,0.04,0.039,0.039,0.039,
3.1.2,E,12,0.045,0.042,0.041,0.041,0.04,0.04,
3.1.2,F,12,0.047,0.043,0.041,0.041,0.041,0.04,
3.1.2,G,12,0.052,0.047,0.04,0.039,0.04,0.039,
3.1.2,H,12,0.054,0.048,0.041,0.041,0.041,0.04,
4.1.2,A,1,0.051,0.05,0.04,0.04,0.041,0.04,
4.1.2,B,1,0.04,0.04,0.04,0.04,0.038,0.039,
4.1.2,C,1,0.06,0.047,0.039,0.039,0.039,0.039,
4.1.2,D,1,0.048,0.05,0.039,0.039,0.039,0.038,
4.1.2,E,1,0.19,0.149,0.041,0.042,0.04,0.04,
4.1.2,F,1,0.054,0.048,0.041,0.041,0.04,0.04,
4.1.2,G,1,0.054,0.05,0.04,0.04,0.039,0.039,
4.1.2,H,1,0.087,0.074,0.042,0.042,0.041,0.04,
4.1.2,A,2,0.067,0.059,0.04,0.041,0.04,0.041,
4.1.2,B,2,0.065,0.058,0.039,0.04,0.038,0.039,
4.1.2,C,2,0.056,0.048,0.04,0.039,0.039,0.038,
4.1.2,D,2,0.057,0.049,0.039,0.04,0.038,0.039,
4.1.2,E,2,0.057,0.051,0.04,0.042,0.039,0.041,
4.1.2,F,2,0.058,0.052,0.04,0.042,0.039,0.041,
4.1.2,G,2,0.06,0.051,0.04,0.039,0.039,0.039,
4.1.2,H,2,0.061,0.051,0.04,0.04,0.039,0.038,
4.1.2,A,3,0.044,0.045,0.042,0.042,0.041,0.041,
4.1.2,B,3,0.042,0.048,0.039,0.042,0.039,0.041,
4.1.2,C,3,0.04,0.039,0.04,0.039,0.04,0.038,
4.1.2,D,3,0.042,0.04,0.042,0.04,0.041,0.039,
4.1.2,E,3,0.043,0.045,0.041,0.04,0.041,0.039,
4.1.2,F,3,0.051,0.045,0.047,0.045,0.041,0.039,
4.1.2,G,3,0.046,0.045,0.041,0.041,0.04,0.04,
4.1.2,H,3,0.048,0.045,0.04,0.04,0.045,0.044,
4.1.2,A,4,0.043,0.042,0.041,0.041,0.041,0.041,
4.1.2,B,4,0.045,0.045,0.04,0.042,0.039,0.042,
4.1.2,C,4,0.046,0.048,0.04,0.039,0.04,0.039,
4.1.2,D,4,0.046,0.044,0.042,0.042,0.041,0.041,
4.1.2,E,4,0.046,0.047,0.04,0.043,0.039,0.043,
4.1.2,F,4,0.161,0.142,0.04,0.042,0.039,0.041,
4.1.2,G,4,0.039,0.04,0.039,0.041,0.039,0.04,
4.1.2,H,4,0.054,0.052,0.04,0.039,0.04,0.039,
4.1.2,A,5,0.044,0.049,0.041,0.041,0.04,0.04,
4.1.2,B,5,0.055,0.06,0.039,0.041,0.039,0.04,
4.1.2,C,5,0.075,0.061,0.041,0.039,0.042,0.04,
4.1.2,D,5,0.069,0.059,0.04,0.041,0.039,0.04,
4.1.2,E,5,0.05,0.049,0.04,0.043,0.039,0.042,
4.1.2,F,5,0.052,0.047,0.041,0.041,0.041,0.04,
4.1.2,G,5,0.05,0.048,0.039,0.043,0.039,0.042,
4.1.2,H,5,0.05,0.043,0.042,0.041,0.042,0.041,
4.1.2,A,6,0.081,0.102,0.039,0.039,0.039,0.039,
4.1.2,B,6,0.049,0.051,0.039,0.039,0.038,0.038,
4.1.2,C,6,0.052,0.054,0.041,0.04,0.041,0.039,
4.1.2,D,6,0.044,0.044,0.04,0.04,0.039,0.039,
4.1.2,E,6,0.09,0.091,0.04,0.04,0.04,0.039,
4.1.2,F,6,0.047,0.048,0.04,0.04,0.039,0.039,
4.1.2,G,6,0.052,0.057,0.041,0.042,0.04,0.041,
4.1.2,H,6,0.262,0.257,0.042,0.041,0.042,0.041,
4.1.2,A,7,0.044,0.044,0.04,0.041,0.04,0.04,
4.1.2,B,7,0.117,0.093,0.039,0.039,0.039,0.039,
4.1.2,C,7,0.109,0.095,0.04,0.039,0.039,0.039,
4.1.2,D,7,0.154,0.136,0.04,0.04,0.039,0.039,
4.1.2,E,7,0.202,0.155,0.04,0.04,0.04,0.039,
4.1.2,F,7,0.046,0.045,0.04,0.04,0.039,0.039,
4.1.2,G,7,0.132,0.118,0.046,0.046,0.045,0.044,
4.1.2,H,7,0.075,0.07,0.047,0.049,0.047,0.049,
4.1.2,A,8,0.059,0.051,0.04,0.04,0.04,0.04,
4.1.2,B,8,0.06,0.051,0.04,0.039,0.039,0.038,
4.1.2,C,8,0.061,0.049,0.039,0.039,0.039,0.039,
4.1.2,D,8,0.062,0.05,0.039,0.039,0.038,0.039,
4.1.2,E,8,0.062,0.052,0.042,0.043,0.04,0.041,
4.1.2,F,8,0.063,0.051,0.041,0.042,0.04,0.04,
4.1.2,G,8,0.052,0.048,0.041,0.042,0.041,0.041,
4.1.2,H,8,0.053,0.046,0.043,0.042,0.042,0.041,
4.1.2,A,9,0.06,0.053,0.041,0.041,0.041,0.041,
4.1.2,B,9,0.041,0.051,0.04,0.039,0.039,0.039,
4.1.2,C,9,0.06,0.046,0.04,0.04,0.04,0.039,
4.1.2,D,9,0.042,0.041,0.041,0.041,0.04,0.04,
4.1.2,E,9,0.042,0.045,0.04,0.044,0.04,0.043,
4.1.2,F,9,0.046,0.045,0.04,0.039,0.04,0.039,
4.1.2,G,9,0.062,0.058,0.04,0.042,0.039,0.042,
4.1.2,H,9,0.044,0.043,0.042,0.041,0.041,0.04,
4.1.2,A,10,0.061,0.054,0.04,0.041,0.041,0.04,
4.1.2,B,10,0.052,0.047,0.039,0.04,0.039,0.039,
4.1.2,C,10,0.044,0.042,0.04,0.039,0.039,0.039,
4.1.2,D,10,0.045,0.042,0.043,0.04,0.041,0.039,
4.1.2,E,10,0.057,0.048,0.042,0.043,0.041,0.042,
4.1.2,F,10,0.059,0.046,0.038,0.037,0.04,0.038,
4.1.2,G,10,0.076,0.07,0.042,0.041,0.041,0.04,
4.1.2,H,10,0.056,0.059,0.042,0.04,0.041,0.04,
4.1.2,A,11,0.056,0.053,0.041,0.042,0.041,0.042,
4.1.2,B,11,0.055,0.052,0.044,0.044,0.039,0.04,
4.1.2,C,11,0.053,0.046,0.041,0.04,0.04,0.04,
4.1.2,D,11,0.052,0.044,0.04,0.039,0.039,0.038,
4.1.2,E,11,0.049,0.045,0.041,0.041,0.04,0.041,
4.1.2,F,11,0.054,0.054,0.043,0.045,0.042,0.044,
4.1.2,G,11,0.047,0.043,0.039,0.04,0.039,0.039,
4.1.2,H,11,0.048,0.044,0.041,0.041,0.04,0.04,
4.1.2,A,12,0.047,0.046,0.042,0.041,0.041,0.041,
4.1.2,B,12,0.044,0.042,0.039,0.039,0.039,0.038,
4.1.2,C,12,0.043,0.041,0.039,0.039,0.039,0.039,
4.1.2,D,12,0.041,0.04,0.04,0.039,0.039,0.039,
4.1.2,E,12,0.047,0.042,0.041,0.041,0.04,0.04,
4.1.2,F,12,0.05,0.045,0.041,0.041,0.041,0.04,
4.1.2,G,12,0.044,0.042,0.04,0.039,0.04,0.039,
4.1.2,H,12,0.046,0.046,0.041,0.041,0.041,0.04,
5.1.2,A,1,0.055,0.049,0.04,0.04,0.041,0.04,
5.1.2,B,1,0.068,0.073,0.04,0.04,0.038,0.039,
5.1.2,C,1,0.385,0.336,0.039,0.039,0.039,0.039,
5.1.2,D,1,0.041,0.04,0.039,0.039,0.039,0.038,
5.1.2,E,1,0.134,0.122,0.041,0.042,0.04,0.04,
5.1.2,F,1,0.117,0.111,0.041,0.041,0.04,0.04,
5.1.2,G,1,0.082,0.08,0.04,0.04,0.039,0.039,
5.1.2,H,1,0.091,0.087,0.042,0.042,0.041,0.04,
5.1.2,A,2,0.059,0.048,0.04,0.041,0.04,0.041,
5.1.2,B,2,0.066,0.052,0.039,0.04,0.038,0.039,
5.1.2,C,2,0.049,0.043,0.04,0.039,0.039,0.038,
5.1.2,D,2,0.057,0.049,0.039,0.04,0.038,0.039,
5.1.2,E,2,0.051,0.048,0.04,0.042,0.039,0.041,
5.1.2,F,2,0.057,0.052,0.04,0.042,0.039,0.041,
5.1.2,G,2,0.052,0.045,0.04,0.039,0.039,0.039,
5.1.2,H,2,0.051,0.044,0.04,0.04,0.039,0.038,
5.1.2,A,3,0.046,0.044,0.042,0.042,0.041,0.041,
5.1.2,B,3,0.049,0.057,0.039,0.042,0.039,0.041,
5.1.2,C,3,0.067,0.06,0.04,0.039,0.04,0.038,
5.1.2,D,3,0.249,0.241,0.042,0.04,0.041,0.039,
5.1.2,E,3,0.065,0.064,0.041,0.04,0.041,0.039,
5.1.2,F,3,0.051,0.05,0.047,0.045,0.041,0.039,
5.1.2,G,3,0.055,0.052,0.041,0.041,0.04,0.04,
5.1.2,H,3,0.104,0.093,0.04,0.04,0.045,0.044,
5.1.2,A,4,0.042,0.041,0.041,0.041,0.041,0.041,
5.1.2,B,4,0.042,0.043,0.04,0.042,0.039,0.042,
5.1.2,C,4,0.042,0.04,0.04,0.039,0.04,0.039,
5.1.2,D,4,0.044,0.043,0.042,0.042,0.041,0.041,
5.1.2,E,4,0.042,0.044,0.04,0.043,0.039,0.043,
5.1.2,F,4,0.041,0.042,0.04,0.042,0.039,0.041,
5.1.2,G,4,0.042,0.042,0.039,0.041,0.039,0.04,
5.1.2,H,4,0.045,0.042,0.04,0.039,0.04,0.039,
5.1.2,A,5,0.043,0.041,0.041,0.041,0.04,0.04,
5.1.2,B,5,0.041,0.041,0.039,0.041,0.039,0.04,
5.1.2,C,5,0.323,0.255,0.041,0.039,0.042,0.04,
5.1.2,D,5,0.18,0.15,0.04,0.041,0.039,0.04,
5.1.2,E,5,0.043,0.045,0.04,0.043,0.039,0.042,
5.1.2,F,5,0.297,0.26,0.041,0.041,0.041,0.04,
5.1.2,G,5,0.261,0.226,0.039,0.043,0.039,0.042,
5.1.2,H,5,0.044,0.042,0.042,0.041,0.042,0.041,
5.1.2,A,6,0.149,0.116,0.039,0.039,0.039,0.039,
5.1.2,B,6,0.165,0.13,0.039,0.039,0.038,0.038,
5.1.2,C,6,0.107,0.101,0.041,0.04,0.041,0.039,
5.1.2,D,6,0.102,0.088,0.04,0.04,0.039,0.039,
5.1.2,E,6,0.076,0.059,0.04,0.04,0.04,0.039,
5.1.2,F,6,0.048,0.047,0.04,0.04,0.039,0.039,
5.1.2,G,6,0.054,0.054,0.041,0.042,0.04,0.041,
5.1.2,H,6,0.062,0.057,0.042,0.041,0.042,0.041,
5.1.2,A,7,0.243,0.222,0.04,0.041,0.04,0.04,
5.1.2,B,7,0.26,0.237,0.039,0.039,0.039,0.039,
5.1.2,C,7,0.208,0.197,0.04,0.039,0.039,0.039,
5.1.2,D,7,0.161,0.148,0.04,0.04,0.039,0.039,
5.1.2,E,7,0.13,0.129,0.04,0.04,0.04,0.039,
5.1.2,F,7,0.072,0.068,0.04,0.04,0.039,0.039,
5.1.2,G,7,0.094,0.097,0.046,0.046,0.045,0.044,
5.1.2,H,7,0.502,0.484,0.047,0.049,0.047,0.049,
5.1.2,A,8,0.067,0.059,0.04,0.04,0.04,0.04,
5.1.2,B,8,0.061,0.049,0.04,0.039,0.039,0.038,
5.1.2,C,8,0.053,0.045,0.039,0.039,0.039,0.039,
5.1.2,D,8,0.049,0.043,0.039,0.039,0.038,0.039,
5.1.2,E,8,0.05,0.045,0.042,0.043,0.04,0.041,
5.1.2,F,8,0.051,0.044,0.041,0.042,0.04,0.04,
5.1.2,G,8,0.047,0.045,0.041,0.042,0.041,0.041,
5.1.2,H,8,0.047,0.043,0.043,0.042,0.042,0.041,
5.1.2,A,9,0.05,0.049,0.041,0.041,0.041,0.041,
5.1.2,B,9,0.053,0.055,0.04,0.039,0.039,0.039,
5.1.2,C,9,0.051,0.047,0.04,0.04,0.04,0.039,
5.1.2,D,9,0.058,0.052,0.041,0.041,0.04,0.04,
5.1.2,E,9,0.074,0.075,0.04,0.044,0.04,0.043,
5.1.2,F,9,0.048,0.047,0.04,0.039,0.04,0.039,
5.1.2,G,9,0.056,0.056,0.04,0.042,0.039,0.042,
5.1.2,H,9,0.054,0.05,0.042,0.041,0.041,0.04,
5.1.2,A,10,0.053,0.048,0.04,0.041,0.041,0.04,
5.1.2,B,10,0.045,0.047,0.039,0.04,0.039,0.039,
5.1.2,C,10,0.059,0.056,0.04,0.039,0.039,0.039,
5.1.2,D,10,0.05,0.048,0.043,0.04,0.041,0.039,
5.1.2,E,10,0.061,0.061,0.042,0.043,0.041,0.042,
5.1.2,F,10,0.238,0.217,0.038,0.037,0.04,0.038,
5.1.2,G,10,0.053,0.048,0.042,0.041,0.041,0.04,
5.1.2,H,10,0.05,0.046,0.042,0.04,0.041,0.04,
5.1.2,A,11,0.046,0.049,0.041,0.042,0.041,0.042,
5.1.2,B,11,0.044,0.042,0.044,0.044,0.039,0.04,
5.1.2,C,11,0.043,0.042,0.041,0.04,0.04,0.04,
5.1.2,D,11,0.061,0.055,0.04,0.039,0.039,0.038,
5.1.2,E,11,0.044,0.043,0.041,0.041,0.04,0.041,
5.1.2,F,11,0.046,0.045,0.043,0.045,0.042,0.044,
5.1.2,G,11,0.051,0.053,0.039,0.04,0.039,0.039,
5.1.2,H,11,0.056,0.065,0.041,0.041,0.04,0.04,
5.1.2,A,12,0.051,0.049,0.042,0.041,0.041,0.041,
5.1.2,B,12,0.041,0.043,0.039,0.039,0.039,0.038,
5.1.2,C,12,0.043,0.043,0.039,0.039,0.039,0.039,
5.1.2,D,12,0.04,0.039,0.04,0.039,0.039,0.039,
5.1.2,E,12,0.044,0.044,0.041,0.041,0.04,0.04,
5.1.2,F,12,0.044,0.042,0.041,0.041,0.041,0.04,
5.1.2,G,12,0.049,0.053,0.04,0.039,0.04,0.039,
5.1.2,H,12,0.043,0.043,0.041,0.041,0.041,0.04,
6.1.2,A,1,0.049,0.045,0.04,0.04,0.041,0.04,
6.1.2,B,1,0.046,0.044,0.04,0.04,0.038,0.039,
6.1.2,C,1,0.054,0.048,0.039,0.039,0.039,0.039,
6.1.2,D,1,0.041,0.041,0.039,0.039,0.039,0.038,
6.1.2,E,1,0.043,0.042,0.041,0.042,0.04,0.04,
6.1.2,F,1,0.05,0.049,0.041,0.041,0.04,0.04,
6.1.2,G,1,0.047,0.043,0.04,0.04,0.039,0.039,
6.1.2,H,1,0.051,0.048,0.042,0.042,0.041,0.04,
6.1.2,A,2,0.043,0.043,0.04,0.041,0.04,0.041,
6.1.2,B,2,0.047,0.046,0.039,0.04,0.038,0.039,
6.1.2,C,2,0.07,0.084,0.04,0.039,0.039,0.038,
6.1.2,D,2,0.042,0.04,0.039,0.04,0.038,0.039,
6.1.2,E,2,0.053,0.053,0.04,0.042,0.039,0.041,
6.1.2,F,2,0.06,0.051,0.04,0.042,0.039,0.041,
6.1.2,G,2,0.042,0.042,0.04,0.039,0.039,0.039,
6.1.2,H,2,0.074,0.049,0.04,0.04,0.039,0.038,
6.1.2,A,3,0.084,0.077,0.042,0.042,0.041,0.041,
6.1.2,B,3,0.046,0.049,0.039,0.042,0.039,0.041,
6.1.2,C,3,0.042,0.04,0.04,0.039,0.04,0.038,
6.1.2,D,3,0.046,0.042,0.042,0.04,0.041,0.039,
6.1.2,E,3,0.049,0.044,0.041,0.04,0.041,0.039,
6.1.2,F,3,0.05,0.043,0.047,0.045,0.041,0.039,
6.1.2,G,3,0.055,0.048,0.041,0.041,0.04,0.04,
6.1.2,H,3,0.049,0.043,0.04,0.04,0.045,0.044,
6.1.2,A,4,0.051,0.047,0.041,0.041,0.041,0.041,
6.1.2,B,4,0.051,0.049,0.04,0.042,0.039,0.042,
6.1.2,C,4,0.049,0.043,0.04,0.039,0.04,0.039,
6.1.2,D,4,0.052,0.047,0.042,0.042,0.041,0.041,
6.1.2,E,4,0.052,0.05,0.04,0.043,0.039,0.043,
6.1.2,F,4,0.075,0.067,0.04,0.042,0.039,0.041,
6.1.2,G,4,0.044,0.043,0.039,0.041,0.039,0.04,
6.1.2,H,4,0.045,0.04,0.04,0.039,0.04,0.039,
6.1.2,A,5,0.046,0.042,0.041,0.041,0.04,0.04,
6.1.2,B,5,0.045,0.044,0.039,0.041,0.039,0.04,
6.1.2,C,5,0.05,0.044,0.041,0.039,0.042,0.04,
6.1.2,D,5,0.05,0.046,0.04,0.041,0.039,0.04,
6.1.2,E,5,0.047,0.047,0.04,0.043,0.039,0.042,
6.1.2,F,5,0.047,0.043,0.041,0.041,0.041,0.04,
6.1.2,G,5,0.048,0.046,0.039,0.043,0.039,0.042,
6.1.2,H,5,0.051,0.044,0.042,0.041,0.042,0.041,
6.1.2,A,6,0.04,0.039,0.039,0.039,0.039,0.039,
6.1.2,B,6,0.041,0.04,0.039,0.039,0.038,0.038,
6.1.2,C,6,0.042,0.04,0.041,0.04,0.041,0.039,
6.1.2,D,6,0.041,0.04,0.04,0.04,0.039,0.039,
6.1.2,E,6,0.042,0.04,0.04,0.04,0.04,0.039,
6.1.2,F,6,0.041,0.04,0.04,0.04,0.039,0.039,
6.1.2,G,6,0.042,0.041,0.041,0.042,0.04,0.041,
6.1.2,H,6,0.043,0.041,0.042,0.041,0.042,0.041,
6.1.2,A,7,0.046,0.043,0.04,0.041,0.04,0.04,
6.1.2,B,7,0.049,0.047,0.039,0.039,0.039,0.039,
6.1.2,C,7,0.045,0.043,0.04,0.039,0.039,0.039,
6.1.2,D,7,0.043,0.04,0.04,0.04,0.039,0.039,
6.1.2,E,7,0.046,0.044,0.04,0.04,0.04,0.039,
6.1.2,F,7,0.049,0.05,0.04,0.04,0.039,0.039,
6.1.2,G,7,0.057,0.055,0.046,0.046,0.045,0.044,
6.1.2,H,7,0.055,0.054,0.047,0.049,0.047,0.049,
6.1.2,A,8,0.041,0.039,0.04,0.04,0.04,0.04,
6.1.2,B,8,0.041,0.039,0.04,0.039,0.039,0.038,
6.1.2,C,8,0.087,0.074,0.039,0.039,0.039,0.039,
6.1.2,D,8,0.068,0.063,0.039,0.039,0.038,0.039,
6.1.2,E,8,0.043,0.042,0.042,0.043,0.04,0.041,
6.1.2,F,8,0.044,0.05,0.041,0.042,0.04,0.04,
6.1.2,G,8,0.051,0.05,0.041,0.042,0.041,0.041,
6.1.2,H,8,0.046,0.042,0.043,0.042,0.042,0.041,
6.1.2,A,9,0.058,0.052,0.041,0.041,0.041,0.041,
6.1.2,B,9,0.053,0.047,0.04,0.039,0.039,0.039,
6.1.2,C,9,0.05,0.043,0.04,0.04,0.04,0.039,
6.1.2,D,9,0.052,0.046,0.041,0.041,0.04,0.04,
6.1.2,E,9,0.051,0.05,0.04,0.044,0.04,0.043,
6.1.2,F,9,0.048,0.044,0.04,0.039,0.04,0.039,
6.1.2,G,9,0.063,0.053,0.04,0.042,0.039,0.042,
6.1.2,H,9,0.058,0.047,0.042,0.041,0.041,0.04,
6.1.2,A,10,0.052,0.046,0.04,0.041,0.041,0.04,
6.1.2,B,10,0.054,0.049,0.039,0.04,0.039,0.039,
6.1.2,C,10,0.053,0.044,0.04,0.039,0.039,0.039,
6.1.2,D,10,0.06,0.048,0.043,0.04,0.041,0.039,
6.1.2,E,10,0.057,0.052,0.042,0.043,0.041,0.042,
6.1.2,F,10,0.053,0.044,0.038,0.037,0.04,0.038,
6.1.2,G,10,0.063,0.049,0.042,0.041,0.041,0.04,
6.1.2,H,10,0.06,0.047,0.042,0.04,0.041,0.04,
6.1.2,A,11,0.059,0.051,0.041,0.042,0.041,0.042,
6.1.2,B,11,0.057,0.049,0.044,0.044,0.039,0.04,
6.1.2,C,11,0.06,0.048,0.041,0.04,0.04,0.04,
6.1.2,D,11,0.057,0.047,0.04,0.039,0.039,0.038,
6.1.2,E,11,0.058,0.052,0.041,0.041,0.04,0.041,
6.1.2,F,11,0.054,0.05,0.043,0.045,0.042,0.044,
6.1.2,G,11,0.056,0.047,0.039,0.04,0.039,0.039,
6.1.2,H,11,0.058,0.046,0.041,0.041,0.04,0.04,
6.1.2,A,12,0.046,0.042,0.042,0.041,0.041,0.041,
6.1.2,B,12,0.041,0.038,0.039,0.039,0.039,0.038,
6.1.2,C,12,0.042,0.04,0.039,0.039,0.039,0.039,
6.1.2,D,12,0.041,0.039,0.04,0.039,0.039,0.039,
6.1.2,E,12,0.043,0.041,0.041,0.041,0.04,0.04,
6.1.2,F,12,0.043,0.041,0.041,0.041,0.041,0.04,
6.1.2,G,12,0.04,0.039,0.04,0.039,0.04,0.039,
6.1.2,H,12,0.044,0.041,0.041,0.041,0.041,0.04,
7.1.2,A,1,0.043,0.042,0.04,0.04,0.041,0.04,
7.1.2,B,1,0.084,0.068,0.04,0.04,0.038,0.039,
7.1.2,C,1,0.04,0.039,0.039,0.039,0.039,0.039,
7.1.2,D,1,0.072,0.068,0.039,0.039,0.039,0.038,
7.1.2,E,1,0.134,0.126,0.041,0.042,0.04,0.04,
7.1.2,F,1,0.041,0.04,0.041,0.041,0.04,0.04,
7.1.2,G,1,0.044,0.043,0.04,0.04,0.039,0.039,
7.1.2,H,1,0.045,0.044,0.042,0.042,0.041,0.04,
7.1.2,A,2,0.042,0.052,0.04,0.041,0.04,0.041,
7.1.2,B,2,0.044,0.041,0.039,0.04,0.038,0.039,
7.1.2,C,2,0.048,0.045,0.04,0.039,0.039,0.038,
7.1.2,D,2,0.042,0.041,0.039,0.04,0.038,0.039,
7.1.2,E,2,0.058,0.055,0.04,0.042,0.039,0.041,
7.1.2,F,2,0.06,0.056,0.04,0.042,0.039,0.041,
7.1.2,G,2,0.041,0.04,0.04,0.039,0.039,0.039,
7.1.2,H,2,0.041,0.04,0.04,0.04,0.039,0.038,
7.1.2,A,3,0.045,0.043,0.042,0.042,0.041,0.041,
7.1.2,B,3,0.045,0.046,0.039,0.042,0.039,0.041,
7.1.2,C,3,0.143,0.123,0.04,0.039,0.04,0.038,
7.1.2,D,3,0.072,0.065,0.042,0.04,0.041,0.039,
7.1.2,E,3,0.051,0.043,0.041,0.04,0.041,0.039,
7.1.2,F,3,0.053,0.044,0.047,0.045,0.041,0.039,
7.1.2,G,3,0.063,0.051,0.041,0.041,0.04,0.04,
7.1.2,H,3,0.08,0.067,0.04,0.04,0.045,0.044,
7.1.2,A,4,0.042,0.042,0.041,0.041,0.041,0.041,
7.1.2,B,4,0.042,0.044,0.04,0.042,0.039,0.042,
7.1.2,C,4,0.128,0.121,0.04,0.039,0.04,0.039,
7.1.2,D,4,0.144,0.12,0.042,0.042,0.041,0.041,
7.1.2,E,4,0.156,0.138,0.04,0.043,0.039,0.043,
7.1.2,F,4,0.137,0.13,0.04,0.042,0.039,0.041,
7.1.2,G,4,0.085,0.081,0.039,0.041,0.039,0.04,
7.1.2,H,4,0.104,0.115,0.04,0.039,0.04,0.039,
7.1.2,A,5,0.043,0.042,0.041,0.041,0.04,0.04,
7.1.2,B,5,0.058,0.102,0.039,0.041,0.039,0.04,
7.1.2,C,5,0.2,0.156,0.041,0.039,0.042,0.04,
7.1.2,D,5,0.105,0.098,0.04,0.041,0.039,0.04,
7.1.2,E,5,0.042,0.044,0.04,0.043,0.039,0.042,
7.1.2,F,5,0.044,0.042,0.041,0.041,0.041,0.04,
7.1.2,G,5,0.111,0.103,0.039,0.043,0.039,0.042,
7.1.2,H,5,0.046,0.043,0.042,0.041,0.042,0.041,
7.1.2,A,6,0.047,0.044,0.039,0.039,0.039,0.039,
7.1.2,B,6,0.048,0.044,0.039,0.039,0.038,0.038,
7.1.2,C,6,0.055,0.048,0.041,0.04,0.041,0.039,
7.1.2,D,6,0.051,0.047,0.04,0.04,0.039,0.039,
7.1.2,E,6,0.062,0.052,0.04,0.04,0.04,0.039,
7.1.2,F,6,0.055,0.047,0.04,0.04,0.039,0.039,
7.1.2,G,6,0.066,0.053,0.041,0.042,0.04,0.041,
7.1.2,H,6,0.066,0.052,0.042,0.041,0.042,0.041,
7.1.2,A,7,0.072,0.07,0.04,0.041,0.04,0.04,
7.1.2,B,7,0.076,0.063,0.039,0.039,0.039,0.039,
7.1.2,C,7,0.048,0.046,0.04,0.039,0.039,0.039,
7.1.2,D,7,0.069,0.064,0.04,0.04,0.039,0.039,
7.1.2,E,7,0.132,0.129,0.04,0.04,0.04,0.039,
7.1.2,F,7,0.181,0.146,0.04,0.04,0.039,0.039,
7.1.2,G,7,0.052,0.05,0.046,0.046,0.045,0.044,
7.1.2,H,7,0.181,0.156,0.047,0.049,0.047,0.049,
7.1.2,A,8,0.05,0.049,0.04,0.04,0.04,0.04,
7.1.2,B,8,0.052,0.043,0.04,0.039,0.039,0.038,
