scorer,plate,row,column,ROI,,,,,,,,
MG,19.1,B,2,19,,,,,,,,
MG,19.1,B,3,13,,,,,,,,
MG,19.1,B,4,10,16,12,20,,,,,
MG,19.1,B,5,21,22,,,,,,,
MG,19.1,B,6,11,15,14,17,,,,,
MG,19.1,C,1,28,,,,,,,,
MG,19.1,C,2,23,,,,,,,,
MG,19.1,C,3,26,,,,,,,,
MG,19.1,C,4,24,30,,,,,,,
MG,19.1,C,5,27,29,31,,,,,,
MG,19.1,C,6,25,,,,,,,,
MG,19.1,D,1,36,,,,,,,,
MG,19.1,D,2,38,,,,,,,,
MG,19.1,D,3,41,43,49,,,,,,
MG,19.1,D,4,37,40,45,,,,,,
MG,19.1,D,5,35,34,,,,,,,
MG,19.1,D,6,32,33,,,,,,,
MG,19.2,A,1,10,,,,,,,,
MG,19.2,A,2,16,23,,,,,,,
MG,19.2,A,3,8,,,,,,,,
MG,19.2,A,4,22,15,7,95,,,,,
MG,19.2,A,5,4,5,17,,,,,,
MG,19.2,A,6,9,,,,,,,,
MG,19.2,B,1,39,40,,,,,,,
MG,19.2,B,2,43,,,,,,,,
MG,19.2,B,3,30,35,,,,,,,
MG,19.2,B,4,36,38,41,,,,,,
MG,19.2,B,5,31,34,37,42,44,,,,
MG,19.2,B,6,28,32,,,,,,,
MG,19.2,C,1,53,,,,,,,,
MG,19.2,C,2,,,,,,,,,
MG,19.2,C,3,46,52,55,59,,,,,
MG,19.2,C,4,54,56,57,,,,,,
MG,19.2,C,5,47,51,58,60,62,61,,,
MG,19.2,C,6,49,50,,,,,,,
MG,19.2,D,1,70,73,,,,,,,
MG,19.2,D,2,75,,,,,,,,
MG,19.2,D,3,77,,,,,,,,
MG,19.2,D,4,68,80,76,,,,,,
MG,19.2,D,5,78,69,,,,,,,
MG,19.2,D,6,71,,,,,,,,
DL,1.1,A,6,,,,,,,,,
DL,1.1,A,5,4,,,,,,,,
DL,1.1,A,4,6,1,,,,,,,
DL,1.1,A,3,7,,,,,,,,
DL,1.1,A,2,5,,,,,,,,
DL,1.1,A,1,3,,,,,,,,
DL,1.1,B,6,17,,,,,,,,
DL,1.1,B,5,10,12,,,,,,,
DL,1.1,B,4,13,14,,,,,,,
DL,1.1,B,3,11,,,,,,,,
DL,1.1,B,2,15,,,,,,,,
DL,1.1,B,1,16,19,8,,,,,,
DL,1.1,C,6,25,,,,,,,,
DL,1.1,C,5,21,,,,,,,,
DL,1.1,C,4,23,,,,,,,,
DL,1.1,C,3,26,,,,,,,,
DL,1.1,C,2,22,,,,,,,,
DL,1.1,C,1,24,,,,,,,,
DL,1.1,D,6,33,,,,,,,,
DL,1.1,D,5,28,,,,,,,,
DL,1.1,D,4,35,32,,,,,,,
DL,1.1,D,3,30,,,,,,,,
DL,1.1,D,2,34,,,,,,,,
DL,1.1,D,1,29,31,,,,,,,
DL,1.2,A,6,6,,,,,,,,
DL,1.2,A,5,4,,,,,,,,
DL,1.2,A,4,10,,,,,,,,
DL,1.2,A,3,12,13,,,,,,,
DL,1.2,A,2,11,,,,,,,,
DL,1.2,A,1,9,,,,,,,,
DL,1.2,B,6,21,,,,,,,,
DL,1.2,B,5,18,,,,,,,,
DL,1.2,B,4,17,,,,,,,,
DL,1.2,B,3,24,23,,,,,,,
DL,1.2,B,2,14,,,,,,,,
DL,1.2,B,1,22,19,,,,,,,
DL,1.2,C,6,38,42,,,,,,,
DL,1.2,C,5,36,,,,,,,,
DL,1.2,C,4,30,32,29,,,,,,
DL,1.2,C,3,41,39,31,37,45,46,,,
DL,1.2,C,2,28,34,33,40,,,,,
DL,1.2,C,1,35,44,,,,,,,
DL,1.2,D,6,56,,,,,,,,
DL,1.2,D,5,63,,,,,,,,
DL,1.2,D,4,62,64,67,,,,,,
DL,1.2,D,3,69,,,,,,,,
DL,1.2,D,2,51,,,,,,,,
DL,1.2,D,1,65,54,52,,,,,,
DL,2.1,A,6,12,,,,,,,,
DL,2.1,A,5,14,,,,,,,,
DL,2.1,A,4,11,,,,,,,,
DL,2.1,A,3,10,,,,,,,,
DL,2.1,A,2,15,,,,,,,,
DL,2.1,A,1,19,,,,,,,,
DL,2.1,B,6,30,,,,,,,,
DL,2.1,B,5,31,28,,,,,,,
DL,2.1,B,4,33,,,,,,,,
DL,2.1,B,3,32,,,,,,,,
DL,2.1,B,2,34,35,29,,,,,,
DL,2.1,B,1,27,,,,,,,,
DL,2.1,C,6,46,,,,,,,,
DL,2.1,C,5,39,41,,,,,,,
DL,2.1,C,4,40,,,,,,,,
DL,2.1,C,3,42,,,,,,,,
DL,2.1,C,2,44,,,,,,,,
DL,2.1,C,1,43,,,,,,,,
DL,2.1,D,6,59,,,,,,,,
DL,2.1,D,5,55,57,58,,,,,,
DL,2.1,D,4,60,,,,,,,,
DL,2.1,D,3,53,61,,,,,,,
DL,2.1,D,2,50,,,,,,,,
DL,2.1,D,1,54,,,,,,,,
DL,2.2,A,6,20,,,,,,,,
DL,2.2,A,5,21,,,,,,,,
DL,2.2,A,4,18,,,,,,,,
DL,2.2,A,3,16,,,,,,,,
DL,2.2,A,2,1,27,,,,,,,
DL,2.2,A,1,12,,,,,,,,
DL,2.2,B,6,32,,,,,,,,
DL,2.2,B,5,37,,,,,,,,
DL,2.2,B,4,33,,,,,,,,
DL,2.2,B,3,35,34,31,,,,,,
DL,2.2,B,2,28,29,,,,,,,
DL,2.2,B,1,30,,,,,,,,
DL,2.2,C,6,43,,,,,,,,
DL,2.2,C,5,42,40,45,,,,,,
DL,2.2,C,4,48,47,41,,,,,,
DL,2.2,C,3,39,,,,,,,,
DL,2.2,C,2,46,,,,,,,,
DL,2.2,C,1,38,,,,,,,,
DL,2.2,D,6,57,,,,,,,,
DL,2.2,D,5,53,56,,,,,,,
DL,2.2,D,4,55,,,,,,,,
DL,2.2,D,3,51,50,,,,,,,
DL,2.2,D,2,54,,,,,,,,
DL,2.2,D,1,52,,,,,,,,
DL,3.1,A,6,9,,,,,,,,
DL,3.1,A,5,7,,,,,,,,
DL,3.1,A,4,5,12,,,,,,,
DL,3.1,A,3,14,,,,,,,,
DL,3.1,A,2,10,,,,,,,,
DL,3.1,A,1,11,8,6,13,,,,,
DL,3.1,B,6,28,19,33,,,,,,
DL,3.1,B,5,22,,,,,,,,
DL,3.1,B,4,18,24,,,,,,,
DL,3.1,B,3,32,23,,,,,,,
DL,3.1,B,2,21,,,,,,,,
DL,3.1,B,1,27,,,,,,,,
DL,3.1,C,6,43,,,,,,,,
DL,3.1,C,5,34,52,,,,,,,
DL,3.1,C,4,42,46,,,,,,,
DL,3.1,C,3,40,48,49,,,,,,
DL,3.1,C,2,38,36,,,,,,,
DL,3.1,C,1,44,45,69,74,,,,,
DL,3.1,D,6,62,65,64,,,,,,
DL,3.1,D,5,54,,,,,,,,
DL,3.1,D,4,60,,,,,,,,
DL,3.1,D,3,55,,,,,,,,
DL,3.1,D,2,56,66,,,,,,,
DL,3.1,D,1,57,,,,,,,,
DL,3.2,A,6,7,,,,,,,,
DL,3.2,A,5,10,,,,,,,,
DL,3.2,A,4,8,,,,,,,,
DL,3.2,A,3,5,,,,,,,,
DL,3.2,A,2,11,9,,,,,,,
DL,3.2,A,1,6,12,,,,,,,
DL,3.2,B,6,20,25,,,,,,,
DL,3.2,B,5,23,,,,,,,,
DL,3.2,B,4,28,,,,,,,,
DL,3.2,B,3,30,22,,,,,,,
DL,3.2,B,2,22,29,21,33,,,,,
DL,3.2,B,1,24,31,,,,,,,
DL,3.2,C,6,38,37,41,,,,,,
DL,3.2,C,5,45,,,,,,,,
DL,3.2,C,4,47,,,,,,,,
DL,3.2,C,3,44,,,,,,,,
DL,3.2,C,2,39,,,,,,,,
DL,3.2,C,1,43,46,42,,,,,,
DL,3.2,D,6,71,,,,,,,,
DL,3.2,D,5,67,,,,,,,,
DL,3.2,D,4,63,65,,,,,,,
DL,3.2,D,3,70,74,,,,,,,
DL,3.2,D,2,60,,,,,,,,
DL,3.2,D,1,69,58,66,72,79,80,,,
DL,4.1,A,6,14,9,,,,,,,
DL,4.1,A,5,76,,,,,,,,
DL,4.1,A,4,12,21,,,,,,,
DL,4.1,A,3,16,20,,,,,,,
DL,4.1,A,2,11,,,,,,,,
DL,4.1,A,1,15,,,,,,,,
DL,4.1,B,6,67,,,,,,,,
DL,4.1,B,5,33,41,,,,,,,
DL,4.1,B,4,36,,,,,,,,
DL,4.1,B,3,35,,,,,,,,
DL,4.1,B,2,38,,,,,,,,
DL,4.1,B,1,34,,,,,,,,
DL,4.1,C,6,43,51,,,,,,,
DL,4.1,C,5,46,53,,,,,,,
DL,4.1,C,4,45,,,,,,,,
DL,4.1,C,3,47,55,,,,,,,
DL,4.1,C,2,50,49,42,,,,,,
DL,4.1,C,1,48,,,,,,,,
DL,4.1,D,6,58,69,,,,,,,
DL,4.1,D,5,64,,,,,,,,
DL,4.1,D,4,66,72,,,,,,,
DL,4.1,D,3,62,67,,,,,,,
DL,4.1,D,2,59,61,,,,,,,
DL,4.1,D,1,60,,,,,,,,
DL,4.2,A,6,4,6,,,,,,,
DL,4.2,A,5,8,9,,,,,,,
DL,4.2,A,4,13,,,,,,,,
DL,4.2,A,3,11,,,,,,,,
DL,4.2,A,2,5,1,2,,,,,,
DL,4.2,A,1,12,7,10,,,,,,
DL,4.2,B,6,15,62,18,26,31,,,,
DL,4.2,B,5,23,20,,,,,,,
DL,4.2,B,4,28,,,,,,,,
DL,4.2,B,3,29,25,,,,,,,
DL,4.2,B,2,21,22,,,,,,,
DL,4.2,B,1,27,,,,,,,,
DL,4.2,C,6,32,,,,,,,,
DL,4.2,C,5,41,40,,,,,,,
DL,4.2,C,4,33,34,,,,,,,
DL,4.2,C,3,37,42,,,,,,,
DL,4.2,C,2,36,,,,,,,,
DL,4.2,C,1,39,,,,,,,,
DL,4.2,D,6,47,49,,,,,,,
DL,4.2,D,5,53,,,,,,,,
DL,4.2,D,4,51,44,,,,,,,
DL,4.2,D,3,52,50,46,,,,,,
DL,4.2,D,2,43,48,54,55,56,57,59,,
DL,4.2,D,1,45,,,,,,,,
DL,5.1,A,6,10,,,,,,,,
DL,5.1,A,5,7,12,,,,,,,
DL,5.1,A,4,4,,,,,,,,
DL,5.1,A,3,8,20,,,,,,,
DL,5.1,A,2,,,,,,,,,
DL,5.1,A,1,11,13,14,16,,,,,
DL,5.1,B,6,27,,,,,,,,
DL,5.1,B,5,29,,,,,,,,
DL,5.1,B,4,25,,,,,,,,
DL,5.1,B,3,14,28,31,33,,,,,
DL,5.1,B,2,,,,,,,,,
DL,5.1,B,1,32,30,,,,,,,
DL,5.1,C,6,37,,,,,,,,
DL,5.1,C,5,38,40,42,45,,,,,
DL,5.1,C,4,41,,,,,,,,
DL,5.1,C,3,39,,,,,,,,
DL,5.1,C,2,44,,,,,,,,
DL,5.1,C,1,43,36,48,47,,,,,
DL,5.1,D,6,50,,,,,,,,
DL,5.1,D,5,51,54,57,,,,,,
DL,5.1,D,4,52,61,,,,,,,
DL,5.1,D,3,49,56,,,,,,,
DL,5.1,D,2,53,58,59,,,,,,
DL,5.1,D,1,55,60,62,,,,,,
DL,5.2,A,6,11,,,,,,,,
DL,5.2,A,5,6,,,,,,,,
DL,5.2,A,4,15,10,,,,,,,
DL,5.2,A,3,8,,,,,,,,
DL,5.2,A,2,,,,,,,,,
DL,5.2,A,1,13,14,16,12,,,,,
DL,5.2,B,6,26,28,,,,,,,
DL,5.2,B,5,23,,,,,,,,
DL,5.2,B,4,27,,,,,,,,
DL,5.2,B,3,18,22,,,,,,,
DL,5.2,B,2,,,,,,,,,
DL,5.2,B,1,20,30,32,,,,,,
DL,5.2,C,6,38,,,,,,,,
DL,5.2,C,5,36,,,,,,,,
DL,5.2,C,4,39,,,,,,,,
DL,5.2,C,3,40,,,,,,,,
DL,5.2,C,2,,,,,,,,,
DL,5.2,C,1,42,37,,,,,,,
DL,5.2,D,6,45,53,44,,,,,,
DL,5.2,D,5,51,,,,,,,,
DL,5.2,D,4,46,,,,,,,,
DL,5.2,D,3,54,47,,,,,,,
DL,5.2,D,2,48,52,,,,,,,
DL,5.2,D,1,50,,,,,,,,
DL,36.1,A,6,14,6,,,,,,,
DL,36.1,A,5,2,3,18,16,15,,,,
DL,36.1,A,4,5,17,,,,,,,
DL,36.1,A,3,7,9,,,,,,,
DL,36.1,A,2,11,,,,,,,,
DL,36.1,A,1,20,19,21,12,,,,,
DL,36.1,B,6,34,,,,,,,,
DL,36.1,B,5,32,24,,,,,,,
DL,36.1,B,4,28,35,,,,,,,
DL,36.1,B,3,30,31,36,40,,,,,
DL,36.1,B,2,23,25,27,33,37,39,,,
DL,36.1,B,1,29,38,,,,,,,
DL,36.1,C,6,46,,,,,,,,
DL,36.1,C,5,42,45,50,,,,,,
DL,36.1,C,4,47,,,,,,,,
DL,36.1,C,3,43,51,53,,,,,,
DL,36.1,C,2,49,,,,,,,,
DL,36.1,C,1,44,,,,,,,,
DL,36.1,D,6,64,,,,,,,,
DL,36.1,D,5,60,,,,,,,,
DL,36.1,D,4,63,,,,,,,,
DL,36.1,D,3,59,56,,,,,,,
DL,36.1,D,2,61,58,62,66,67,,,,
DL,36.1,D,1,65,57,,,,,,,
DL,36.2,A,6,7,,,,,,,,
DL,36.2,A,5,13,14,12,16,,,,,
DL,36.2,A,4,4,,,,,,,,
DL,36.2,A,3,6,15,,,,,,,
DL,36.2,A,2,8,11,,,,,,,
DL,36.2,A,1,9,10,,,,,,,
DL,36.2,B,6,22,,,,,,,,
DL,36.2,B,5,21,21,24,,,,,,
DL,36.2,B,4,28,19,,,,,,,
DL,36.2,B,3,23,29,31,30,,,,,
DL,36.2,B,2,27,,,,,,,,
DL,36.2,B,1,25,20,,,,,,,
DL,36.2,C,6,35,39,,,,,,,
DL,36.2,C,5,45,47,,,,,,,
DL,36.2,C,4,36,40,,,,,,,
DL,36.2,C,3,41,37,46,32,46,,,,
DL,36.2,C,2,43,49,,,,,,,
DL,36.2,C,1,33,34,,,,,,,
DL,36.2,D,6,56,,,,,,,,
DL,36.2,D,5,52,,,,,,,,
DL,36.2,D,4,55,,,,,,,,
DL,36.2,D,3,57,,,,,,,,
DL,36.2,D,2,54,58,,,,,,,
DL,36.2,D,1,59,,,,,,,,
DL,37.1,A,6,8,,,,,,,,
DL,37.1,A,5,5,11,,,,,,,
DL,37.1,A,4,15,21,,,,,,,
DL,37.1,A,3,14,13,20,,,,,,
DL,37.1,A,2,17,10,,,,,,,
DL,37.1,A,1,12,16,18,19,,,,,
DL,37.1,B,6,80,29,38,,,,,,
DL,37.1,B,5,32,,,,,,,,
DL,37.1,B,4,34,,,,,,,,
DL,37.1,B,3,30,40,41,35,,,,,
DL,37.1,B,2,36,31,33,43,,,,,
DL,37.1,B,1,39,42,,,,,,,
DL,37.1,C,6,47,,,,,,,,
DL,37.1,C,5,57,,,,,,,,
DL,37.1,C,4,48,51,54,53,,,,,
DL,37.1,C,3,46,49,58,52,,,,,
DL,37.1,C,2,61,59,62,69,,,,,
DL,37.1,C,1,50,55,56,60,,,,,
DL,37.1,D,6,78,,,,,,,,
DL,37.1,D,5,71,76,,,,,,,
DL,37.1,D,4,,,,,,,,,
DL,37.1,D,3,72,73,77,,,,,,
DL,37.1,D,2,75,74,79,,,,,,
DL,37.1,D,1,80,81,,,,,,,
DL,37.2,A,6,16,,,,,,,,
DL,37.2,A,5,20,22,,,,,,,
DL,37.2,A,4,19,,,,,,,,
DL,37.2,A,3,18,,,,,,,,
DL,37.2,A,2,27,29,30,,,,,,
DL,37.2,A,1,26,25,24,,,,,,
DL,37.2,B,6,37,,,,,,,,
DL,37.2,B,5,40,43,,,,,,,
DL,37.2,B,4,39,,,,,,,,
DL,37.2,B,3,44,45,,,,,,,
DL,37.2,B,2,38,42,,,,,,,
DL,37.2,B,1,41,,,,,,,,
DL,37.2,C,6,69,58,73,,,,,,
DL,37.2,C,5,59,54,,,,,,,
DL,37.2,C,4,51,,,,,,,,
DL,37.2,C,3,62,68,72,,,,,,
DL,37.2,C,2,66,63,,,,,,,
DL,37.2,C,1,64,60,67,,,,,,
DL,37.2,D,6,87,90,94,,,,,,
DL,37.2,D,5,85,102,,,,,,,
DL,37.2,D,4,93,,,,,,,,
DL,37.2,D,3,92,,,,,,,,
DL,37.2,D,2,88,,,,,,,,
DL,37.2,D,1,86,89,,,,,,,
DL,38.1,A,6,11,17,21,28,32,,,,
DL,38.1,A,5,30,,,,,,,,
DL,38.1,A,4,22,19,27,29,,,,,
DL,38.1,A,3,12,16,,,,,,,
DL,38.1,A,2,13,,,,,,,,
DL,38.1,A,1,14,10,20,23,31,,,,
DL,38.1,B,6,51,46,,,,,,,
DL,38.1,B,5,50,47,,,,,,,
DL,38.1,B,4,43,44,,,,,,,
DL,38.1,B,3,41,52,,,,,,,
DL,38.1,B,2,38,,,,,,,,
DL,38.1,B,1,45,40,49,,,,,,
DL,38.1,C,6,65,71,72,74,,,,,
DL,38.1,C,5,60,67,,,,,,,
DL,38.1,C,4,57,,,,,,,,
DL,38.1,C,3,63,61,,,,,,,
DL,38.1,C,2,62,70,,,,,,,
DL,38.1,C,1,56,58,59,76,,,,,
DL,38.1,D,6,91,95,,,,,,,
DL,38.1,D,5,83,,,,,,,,
DL,38.1,D,4,88,,,,,,,,
DL,38.1,D,3,94,97,,,,,,,
DL,38.1,D,2,82,,,,,,,,
DL,38.1,D,1,78,89,79,93,,,,,
DL,38.2,A,6,7,9,,,,,,,
DL,38.2,A,5,12,,,,,,,,
DL,38.2,A,4,5,,,,,,,,
DL,38.2,A,3,6,,,,,,,,
DL,38.2,A,2,4,,,,,,,,
DL,38.2,A,1,8,11,,,,,,,
DL,38.2,B,6,18,,,,,,,,
DL,38.2,B,5,19,22,,,,,,,
DL,38.2,B,4,17,,,,,,,,
DL,38.2,B,3,16,23,,,,,,,
DL,38.2,B,2,20,,,,,,,,
DL,38.2,B,1,14,15,24,,,,,,
DL,38.2,C,6,28,29,,,,,,,
DL,38.2,C,5,23,33,,,,,,,
DL,38.2,C,4,31,,,,,,,,
DL,38.2,C,3,27,,,,,,,,
DL,38.2,C,2,26,30,,,,,,,
DL,38.2,C,1,25,,,,,,,,
DL,38.2,D,6,35,45,48,,,,,,
DL,38.2,D,5,38,,,,,,,,
DL,38.2,D,4,41,46,,,,,,,
DL,38.2,D,3,47,43,,,,,,,
DL,38.2,D,2,42,,,,,,,,
DL,38.2,D,1,39,40,,,,,,,
DL,39.1,A,6,10,17,18,,,,,,
DL,39.1,A,5,7,13,14,19,,,,,
DL,39.1,A,4,11,,,,,,,,
DL,39.1,A,3,3,9,12,15,,,,,
DL,39.1,A,2,5,,,,,,,,
DL,39.1,A,1,8,16,,,,,,,
DL,39.1,B,6,30,25,20,32,,,,,
DL,39.1,B,5,27,23,,,,,,,
DL,39.1,B,4,24,,,,,,,,
DL,39.1,B,3,29,31,,,,,,,
DL,39.1,B,2,26,21,28,,,,,,
DL,39.1,B,1,22,33,,,,,,,
DL,39.1,C,6,41,35,43,,,,,,
DL,39.1,C,5,36,44,37,,,,,,
DL,39.1,C,4,42,47,,,,,,,
DL,39.1,C,3,38,,,,,,,,
DL,39.1,C,2,40,34,,,,,,,
DL,39.1,C,1,46,45,,,,,,,
DL,39.1,D,6,50,51,,,,,,,
DL,39.1,D,5,55,58,,,,,,,
DL,39.1,D,4,49,56,,,,,,,
DL,39.1,D,3,53,57,,,,,,,
DL,39.1,D,2,54,,,,,,,,
DL,39.1,D,1,48,52,,,,,,,
MG,39.2,A,1,13,16,,,,,,,
MG,39.2,A,2,15,,,,,,,,
MG,39.2,A,3,21,23,,,,,,,
MG,39.2,A,4,18,,,,,,,,
MG,39.2,A,5,19,,,,,,,,
MG,39.2,A,6,17,14,,,,,,,
MG,39.2,B,1,28,30,,,,,,,
MG,39.2,B,2,25,,,,,,,,
MG,39.2,B,3,32,,,,,,,,
MG,39.2,B,4,29,34,36,,,,,,
MG,39.2,B,5,24,26,33,,,,,,
MG,39.2,B,6,27,35,31,,,,,,
MG,39.2,C,1,40,,,,,,,,
MG,39.2,C,2,43,,,,,,,,
MG,39.2,C,3,41,39,46,38,,,,,
MG,39.2,C,4,42,45,,,,,,,
MG,39.2,C,5,44,,,,,,,,
MG,39.2,C,6,37,,,,,,,,
MG,39.2,D,1,50,57,,,,,,,
MG,39.2,D,2,48,,,,,,,,
MG,39.2,D,3,55,,,,,,,,
MG,39.2,D,4,51,56,,,,,,,
MG,39.2,D,5,49,53,,,,,,,
MG,39.2,D,6,58,,,,,,,,
DL,40.1,A,6,23,12,,,,,,,
DL,40.1,A,5,6,21,22,,,,,,
DL,40.1,A,4,24,17,,,,,,,
DL,40.1,A,3,11,10,26,9,14,,,,
DL,40.1,A,2,7,,,,,,,,
DL,40.1,A,1,19,27,,,,,,,
DL,40.1,B,6,30,37,32,40,,,,,
DL,40.1,B,5,31,,,,,,,,
DL,40.1,B,4,35,34,,,,,,,
DL,40.1,B,3,33,,,,,,,,
DL,40.1,B,2,38,,,,,,,,
DL,40.1,B,1,39,36,,,,,,,
DL,40.1,C,6,43,44,49,54,55,,,,
DL,40.1,C,5,42,41,,,,,,,
DL,40.1,C,4,47,53,,,,,,,
DL,40.1,C,3,46,51,,,,,,,
DL,40.1,C,2,48,52,,,,,,,
DL,40.1,C,1,45,56,57,,,,,,
DL,40.1,D,6,63,,,,,,,,
DL,40.1,D,5,65,69,,,,,,,
DL,40.1,D,4,58,62,,,,,,,
DL,40.1,D,3,68,,,,,,,,
DL,40.1,D,2,59,61,60,64,,,,,
DL,40.1,D,1,67,,,,,,,,
DL,40.2,A,6,4,,,,,,,,
DL,40.2,A,5,2,,,,,,,,
DL,40.2,A,4,12,11,,,,,,,
DL,40.2,A,3,8,9,,,,,,,
DL,40.2,A,2,10,6,,,,,,,
DL,40.2,A,1,3,1,5,,,,,,
DL,40.2,B,6,15,23,,,,,,,
DL,40.2,B,5,13,16,,,,,,,
DL,40.2,B,4,20,21,22,,,,,,
DL,40.2,B,3,17,,,,,,,,
DL,40.2,B,2,18,19,25,24,,,,,
DL,40.2,B,1,14,,,,,,,,
DL,40.2,C,6,30,28,,,,,,,
DL,40.2,C,5,26,33,,,,,,,
DL,40.2,C,4,29,32,,,,,,,
DL,40.2,C,3,31,,,,,,,,
DL,40.2,C,2,35,,,,,,,,
DL,40.2,C,1,27,36,,,,,,,
DL,40.2,D,6,37,,,,,,,,
DL,40.2,D,5,38,44,,,,,,,
DL,40.2,D,4,42,43,,,,,,,
DL,40.2,D,3,39,45,46,,,,,,
DL,40.2,D,2,,,,,,,,,
DL,40.2,D,1,41,,,,,,,,
DL,41.1,A,6,9,17,23,34,26,,,,
DL,41.1,A,5,15,21,,,,,,,
DL,41.1,A,4,13,,,,,,,,
DL,41.1,A,3,10,25,,,,,,,
DL,41.1,A,2,16,22,,,,,,,
DL,41.1,A,1,14,19,,,,,,,
DL,41.1,B,6,39,45,,,,,,,
DL,41.1,B,5,35,41,,,,,,,
DL,41.1,B,4,37,,,,,,,,
DL,41.1,B,3,44,43,,,,,,,
DL,41.1,B,2,48,42,38,33,34,36,,,
DL,41.1,B,1,29,,,,,,,,
DL,41.1,C,6,52,62,,,,,,,
DL,41.1,C,5,50,53,60,56,,,,,
DL,41.1,C,4,57,64,63,69,70,67,,,
DL,41.1,C,3,65,58,,,,,,,
DL,41.1,C,2,55,61,71,,,,,,
DL,41.1,C,1,59,54,,,,,,,
DL,41.1,D,6,79,,,,,,,,
DL,41.1,D,5,76,,,,,,,,
DL,41.1,D,4,80,77,,,,,,,
DL,41.1,D,3,82,,,,,,,,
DL,41.1,D,2,74,,,,,,,,
DL,41.1,D,1,75,,,,,,,,
DL,41.2,A,6,21,,,,,,,,
DL,41.2,A,5,20,32,,,,,,,
DL,41.2,A,4,22,,,,,,,,
DL,41.2,A,3,17,28,,,,,,,
DL,41.2,A,2,25,,,,,,,,
DL,41.2,A,1,29,,,,,,,,
DL,41.2,B,6,36,39,,,,,,,
DL,41.2,B,5,41,48,46,52,,,,,
DL,41.2,B,4,42,49,50,,,,,,
DL,41.2,B,3,37,45,,,,,,,
DL,41.2,B,2,40,47,,,,,,,
DL,41.2,B,1,43,35,,,,,,,
DL,41.2,C,6,63,58,53,,,,,,
DL,41.2,C,5,54,,,,,,,,
DL,41.2,C,4,57,,,,,,,,
DL,41.2,C,3,56,60,,,,,,,
DL,41.2,C,2,59,,,,,,,,
DL,41.2,C,1,61,,,,,,,,
DL,41.2,D,6,74,71,,,,,,,
DL,41.2,D,5,68,69,78,,,,,,
DL,41.2,D,4,72,,,,,,,,
DL,41.2,D,3,75,79,,,,,,,
DL,41.2,D,2,73,76,,,,,,,
DL,41.2,D,1,70,,,,,,,,
DL,42.1,A,6,14,16,24,,,,,,
DL,42.1,A,5,11,17,22,19,20,25,26,,
DL,42.1,A,4,18,27,,,,,,,
DL,42.1,A,3,10,,,,,,,,
DL,42.1,A,2,21,,,,,,,,
DL,42.1,A,1,15,23,,,,,,,
DL,42.1,B,6,33,,,,,,,,
DL,42.1,B,5,41,42,37,,,,,,
DL,42.1,B,4,40,,,,,,,,
DL,42.1,B,3,35,32,,,,,,,
DL,42.1,B,2,31,34,,,,,,,
DL,42.1,B,1,30,38,39,,,,,,
DL,42.1,C,6,54,,,,,,,,
DL,42.1,C,5,55,60,,,,,,,
DL,42.1,C,4,46,57,53,,,,,,
DL,42.1,C,3,56,,,,,,,,
DL,42.1,C,2,52,,,,,,,,
DL,42.1,C,1,58,51,61,59,44,43,,,
DL,42.1,D,6,67,68,,,,,,,
DL,42.1,D,5,75,,,,,,,,
DL,42.1,D,4,64,72,74,,,,,,
DL,42.1,D,3,71,73,,,,,,,
DL,42.1,D,2,69,,,,,,,,
DL,42.1,D,1,65,,,,,,,,
DL,42.2,A,6,8,,,,,,,,
DL,42.2,A,5,4,3,9,,,,,,
DL,42.2,A,4,1,6,,,,,,,
DL,42.2,A,3,5,,,,,,,,
DL,42.2,A,2,7,,,,,,,,
DL,42.2,A,1,10,12,,,,,,,
DL,42.2,B,6,15,,,,,,,,
DL,42.2,B,5,23,,,,,,,,
DL,42.2,B,4,19,,,,,,,,
DL,42.2,B,3,20,22,,,,,,,
DL,42.2,B,2,17,18,,,,,,,
DL,42.2,B,1,21,26,25,24,,,,,
DL,42.2,C,6,31,,,,,,,,
DL,42.2,C,5,35,29,,,,,,,
DL,42.2,C,4,30,,,,,,,,
DL,42.2,C,3,36,,,,,,,,
DL,42.2,C,2,33,37,,,,,,,
DL,42.2,C,1,34,32,,,,,,,
DL,42.2,D,6,40,46,49,,,,,,
DL,42.2,D,5,38,39,41,,,,,,
DL,42.2,D,4,44,,,,,,,,
DL,42.2,D,3,42,,,,,,,,
DL,42.2,D,2,48,50,,,,,,,
DL,42.2,D,1,47,43,,,,,,,
DL,43.1,A,6,2,4,9,17,,,,,
DL,43.1,A,5,14,10,5,,,,,,
DL,43.1,A,4,7,8,16,21,,,,,
DL,43.1,A,3,6,13,18,,,,,,
DL,43.1,A,2,11,19,,,,,,,
DL,43.1,A,1,12,15,20,22,,,,,
DL,43.1,B,6,24,26,37,,,,,,
DL,43.1,B,5,34,35,,,,,,,
DL,43.1,B,4,23,27,32,,,,,,
DL,43.1,B,3,29,,,,,,,,
DL,43.1,B,2,31,30,,,,,,,
DL,43.1,B,1,33,28,25,,,,,,
DL,43.1,C,6,47,48,,,,,,,
DL,43.1,C,5,40,45,,,,,,,
DL,43.1,C,4,42,39,46,,,,,,
DL,43.1,C,3,41,,,,,,,,
DL,43.1,C,2,44,51,50,52,,,,,
DL,43.1,C,1,49,43,,,,,,,
DL,43.1,D,6,54,57,,,,,,,
DL,43.1,D,5,64,,,,,,,,
DL,43.1,D,4,61,,,,,,,,
