"bzt","nacl","inoc","plnt.micr","simmeas.bztstart","px.mn","px.se","od.mn","od.se","bzt.post","bzt.propfinal"
0.1,0,"n","BruceH",0.101580039208,3508,1301.42959855691,-3.77421191284237,0.238289388605009,0.0311355369,0.3065123536352
0.1,0,"y","BruceH",0.101580039208,4923,411.136230463821,-4.1255412489084,0.0270966940245516,0.0369566679,0.36381820865737
0.1,10,"n","BruceH",0.101580039208,240,125.001333326222,-4.52536667806206,0.0155066718782978,0.081175251,0.799126005787237
0.1,10,"y","BruceH",0.101580039208,115.666666666667,71.3917206528725,-4.13427257432995,0.144288027432093,0.0763997988,0.752114287370575
10,0,"n","BruceH",10.1580039208,3617.33333333333,402.324219725556,-4.30756439409192,0.160764283387471,7.5276964317,0.741060595210634
10,0,"y","BruceH",10.1580039208,7157,747.323446262282,-4.10012777500047,0.127314793985741,6.5402811861,0.643854957833577
10,10,"n","BruceH",10.1580039208,427.333333333333,137.526159127798,-4.27131999404643,0.238540012137335,9.4245204214,0.927792555986508
10,10,"y","BruceH",10.1580039208,0,0,-4.41863159000962,0.0988405004212488,9.1929071285,0.904991492440378
0.1,0,"n","KSR",0.101580039208,2504.33333333333,1758.09274815384,-4.28885301461686,0.204428447184112,0.0462614251,0.455418460759529
0.1,0,"y","KSR",0.101580039208,3783.33333333333,2000.25701126408,-3.82472854555143,0.206900294781594,0.0429972062,0.423284008701325
0.1,10,"n","KSR",0.101580039208,84,84,-4.58890679793161,0.0162633880564771,0.0694390619,0.68358963474914
0.1,10,"y","KSR",0.101580039208,301.666666666667,166.347360797953,-4.00791702957874,0.217235997165006,0.0608539107,0.599073510647035
10,0,"n","KSR",10.1580039208,5235.66666666667,1213.48126387587,-3.79119946658304,0.766809393885859,7.1229160101,0.701212173733738
10,0,"y","KSR",10.1580039208,3037.66666666667,1530.77260812238,-3.99484345852765,0.070541186006743,7.2873763923,0.717402400030387
10,10,"n","KSR",10.1580039208,256,149.863271017284,-4.17902661424011,0.189321166066493,10.0587762304,0.990231575890927
10,10,"y","KSR",10.1580039208,466.666666666667,237.423203958202,-3.76869130347767,0.0598851475508895,9.1450434492,0.900279574658776
0.1,0,"n","MoccTr",0.101580039208,1630.33333333333,728.00877589338,-3.86923900975961,0.376940627602426,0.0319951082,0.314974363560594
0.1,0,"y","MoccTr",0.101580039208,5884.33333333333,1151.85246933412,-3.93087978925761,0.104066992214997,0.0324970226,0.319915436668198
0.1,10,"n","MoccTr",0.101580039208,272.666666666667,272.666666666667,-4.52813294566696,0.0544937626439411,0.0756102936,0.744342039927518
0.1,10,"y","MoccTr",0.101580039208,466.666666666667,324.661019800311,-4.12269723332877,0.236475229127214,0.0512625422,0.504651726851891
10,0,"n","MoccTr",10.1580039208,5123,701.633095000514,-4.40046886158159,0.0705110509325346,6.3872834,0.628793161510905
10,0,"y","MoccTr",10.1580039208,1229,876.006849288292,-3.71652842772091,0.243200691228962,4.3407795985,0.427326040858443
10,10,"n","MoccTr",10.1580039208,69,69,-4.46793830003516,0.0503473825580469,9.8160939597,0.966340831942397
10,10,"y","MoccTr",10.1580039208,189.666666666667,189.666666666667,-4.04741771093907,0.246328963103483,9.4359359115,0.928916348632091
