plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
2.II,D,3,Kls,0,+,S,,2,2,2,2,2,3,,
2.II,D,4,Cst,0,+,S,,2,2,3,4,5,6,,
2.II,D,5,Arb,0,+,S,,3,2,2,2,2,1,,
2.II,D,6,RgP,0,+,S,,2,3,3,4,5,5,,
3.I,A,1,AjD,0,-,0,,5,5,5,3,3,3,,
3.I,A,2,Dhl,0,-,0,,3,2,2,2,2,2,,
3.I,A,3,Cst,0,-,0,,2,2,2,4,5,7,,
3.I,A,4,Cst,0,-,0,,3,2,2,2,4,4,,
3.I,A,5,RgP,0,-,0,,2,2,1,2,2,1,,
3.I,A,6,Chr,0,-,0,,2,2,4,4,6,6,,
3.I,B,1,AjD,B,-,0,,2,2,2,2,2,2,,
3.I,B,2,Dhl,B,-,0,,2,2,2,2,2,1,,
3.I,B,3,Cst,B,-,0,,2,4,4,4,5,5,,
3.I,B,4,Cst,B,-,0,,3,3,4,4,2,3,,
3.I,B,5,RgP,B,-,0,,4,4,3,4,4,5,,
3.I,B,6,Chr,B,-,0,,4,4,4,4,6,7,,
3.I,C,1,AjD,B,+,S,,2,2,2,2,2,4,,
3.I,C,2,Dhl(Cst),B,+,S,,3,2,2,2,3,2,ERROR,received both Dhl and Cst though only Dhl intended
3.I,C,3,Cst,B,+,S,,3,2,4,4,6,5,,
3.I,C,4,Cst,B,+,S,,2,2,3,5,5,5,,
3.I,C,5,RgP,B,+,S,,2,2,2,2,2,3,,
3.I,C,6,Chr,B,+,S,,3,3,4,7,7,6,,
3.I,D,1,AjD,0,+,0,,1,2,2,2,2,2,,
3.I,D,2,Dhl,0,+,0,,2,2,2,4,4,2,,
3.I,D,3,Cst,0,+,0,,2,2,3,4,6,6,,
3.I,D,4,Cst,0,+,0,,2,2,3,3,3,3,,
3.I,D,5,RgP,0,+,0,,3,2,2,2,2,2,,
3.I,D,6,Chr,0,+,0,,2,2,2,0,0,0,,
3.II,A,1,AjD,0,+,S,,3,3,4,3,3,3,,
3.II,A,2,Dhl,0,+,S,,3,2,2,3,3,2,,
3.II,A,3,Cst,0,+,S,,2,2,2,4,4,5,,
3.II,A,4,Cst,0,+,S,,2,2,2,4,4,4,,
3.II,A,5,RgP,0,+,S,,3,2,2,2,3,2,,
3.II,A,6,Chr,0,+,S,,1,2,2,4,2,3,,
3.II,B,1,AjD,0,-,S,,2,3,2,3,2,2,,
3.II,B,2,Dhl,0,-,S,,3,3,5,5,5,4,,
3.II,B,3,Cst,0,-,S,,2,2,2,3,4,4,,
3.II,B,4,Cst,0,-,S,,2,2,3,3,4,4,,
3.II,B,5,RgP,0,-,S,,2,2,2,2,2,3,,
3.II,B,6,Chr,0,-,S,,2,4,4,4,4,4,,
3.II,C,1,AjD,B,-,S,,4,2,2,2,1,2,,
3.II,C,2,Dhl,B,-,S,,2,2,1,2,1,1,,
3.II,C,3,Cst,B,-,S,,2,4,5,6,6,6,,
3.II,C,4,Cst,B,-,S,,2,2,4,4,4,6,,
3.II,C,5,RgP,B,-,S,,3,2,3,3,3,4,,
3.II,C,6,Chr,B,-,S,,3,3,5,6,7,7,,
3.II,D,1,AjD,B,+,0,,3,5,5,2,2,4,,
3.II,D,2,Dhl,B,+,0,,1,2,2,3,3,4,,
3.II,D,3,Cst,B,+,0,,2,2,2,3,3,6,,
3.II,D,4,Cst,B,+,0,,2,2,3,4,5,7,,
3.II,D,5,RgP,B,+,0,,3,3,3,4,4,5,,
3.II,D,6,Chr,B,+,0,,2,3,2,4,4,4,,
4.I,A,1,Tgd,B,+,0,,2,2,4,6,6,8,,
4.I,A,2,ClD,B,+,0,,1,2,4,4,5,5,,
4.I,A,3,Cst,B,+,0,,2,3,3,6,7,7,,
4.I,A,4,Cmb,B,+,0,,2,2,4,6,4,5,,
4.I,A,5,KSR,B,+,0,,2,1,1,1,1,2,,
4.I,A,6,Cny,B,+,0,,3,4,6,7,7,7,,
4.I,B,1,Tgd,0,+,S,,2,2,4,5,8,9,,
4.I,B,2,ClD,0,+,S,,2,2,3,5,5,5,,
4.I,B,3,Cst,0,+,S,,2,2,2,2,4,4,,
4.I,B,4,Cmb,0,+,S,,2,2,2,3,3,5,,
4.I,B,5,KSR,0,+,S,,3,4,4,3,2,3,,
4.I,B,6,Cny,0,+,S,,2,2,2,2,2,3,,
4.I,C,1,Tgd,0,+,0,,2,2,4,5,6,6,,
4.I,C,2,ClD,0,+,0,,2,4,4,4,4,6,,
4.I,C,3,Cst,0,+,0,,3,3,4,5,5,5,,
4.I,C,4,Cmb,0,+,0,,1,2,1,1,1,1,,
4.I,C,5,KSR,0,+,0,,2,3,3,5,4,2,,
4.I,C,6,Cny,0,+,0,,3,3,2,3,2,3,,
4.I,D,1,Tgd,0,-,0,,1,2,4,5,7,7,,
4.I,D,2,ClD,0,-,0,,4,4,4,8,6,8,,
4.I,D,3,Cst,0,-,0,,2,2,1,2,2,2,,
4.I,D,4,Cmb,0,-,0,,2,2,2,4,6,6,,
4.I,D,5,KSR,0,-,0,,1,2,2,2,2,3,,
4.I,D,6,Cny,0,-,0,,2,2,1,1,2,2,,
4.II,A,1,Tgd,B,-,0,,6,5,5,6,9,9,,
4.II,A,2,ClD,B,-,0,,3,4,2,7,5,7,,
4.II,A,3,Cst,B,-,0,,2,2,2,4,5,6,,
4.II,A,4,Cmb,B,-,0,,1,2,3,4,4,4,,
4.II,A,5,KSR,B,-,0,,3,4,6,7,6,6,,
4.II,A,6,Cny,B,-,0,,1,2,2,2,2,3,,
4.II,B,1,Tgd,B,-,S,,2,2,3,2,6,7,,
4.II,B,2,ClD,B,-,S,,3,3,6,6,7,8,,
4.II,B,3,Cst,B,-,S,,2,2,3,6,7,8,,
4.II,B,4,Cmb,B,-,S,,2,2,2,5,4,5,,
4.II,B,5,KSR,B,-,S,,2,3,3,3,4,2,,
4.II,B,6,Cny,B,-,S,,2,2,3,3,2,2,,
4.II,C,1,Tgd,0,-,S,,3,3,4,5,7,9,,
4.II,C,2,ClD,0,-,S,,2,2,3,4,5,7,,
4.II,C,3,Cst,0,-,S,,2,2,2,4,4,4,,
4.II,C,4,Cmb,0,-,S,,2,2,3,4,4,7,,
4.II,C,5,KSR,0,-,S,,2,2,3,4,3,3,,
4.II,C,6,Cny,0,-,S,,2,2,3,3,4,4,,
4.II,D,1,Tgd,B,+,S,,2,2,2,4,4,5,,
4.II,D,2,ClD,B,+,S,,2,3,4,4,2,5,,
4.II,D,3,Cst,B,+,S,,2,2,1,2,2,2,,
4.II,D,4,Cmb,B,+,S,,2,2,3,4,7,8,,
4.II,D,5,KSR,B,+,S,,2,3,3,3,3,5,,
4.II,D,6,Cny,B,+,S,,1,2,2,4,4,4,,
5.I,A,1,AjW,B,-,S,,5,5,5,5,2,3,,
5.I,A,2,Swn,B,-,S,,2,3,2,2,3,3,,
5.I,A,3,Ars,B,-,S,,2,3,6,5,4,4,,
