collector,plate,row,column,ROI,,,,,,,,,,
SP,43.1,D,6,53,59,,,,,,,,,
SP,43.1,D,5,54,,,,,,,,,,
SP,43.1,D,4,55,52,,,,,,,,,
SP,43.1,D,3,58,57,62,,,,,,,,
SP,43.1,D,2,50,56,,,,,,,,,
SP,43.1,D,1,51,,,,,,,,,,
SP,43.1,C,6,41,,,,,,,,,,
SP,43.1,C,5,40,45,,,,,,,,,
SP,43.1,C,4,38,44,46,,,,,,,,
SP,43.1,C,3,42,,,,,,,,,,
SP,43.1,C,2,43,49,,,,,,,,,
SP,43.1,C,1,39,,,,,,,,,,
SP,43.1,B,6,21,25,23,26,31,36,33,,,,
SP,43.1,B,5,37,,,,,,,,,,
SP,43.1,B,4,22,28,,,,,,,,,
SP,43.1,B,3,35,,,,,,,,,,
SP,43.1,B,2,27,30,,,,,,,,,
SP,43.1,B,1,24,34,,,,,,,,,
SP,43.1,A,6,4,7,19,18,,,,,,,
SP,43.1,A,5,2,6,8,,,,,,,,
SP,43.1,A,4,5,11,14,16,,,,,,,
SP,43.1,A,3,15,17,20,,,,,,,,
SP,43.1,A,2,13,12,,,,,,,,,
SP,43.1,A,1,3,9,10,,,,,,,,
SP,43.2,D,6,44,53,54,,,,,,,,
SP,43.2,D,5,43,46,,,,,,,,,
SP,43.2,D,4,47,,,,,,,,,,
SP,43.2,D,3,51,52,,,,,,,,,
SP,43.2,D,2,50,,,,,,,,,,
SP,43.2,D,1,48,,,,,,,,,,
SP,43.2,C,6,31,33,,,,,,,,,
SP,43.2,C,5,40,,,,,,,,,,
SP,43.2,C,4,34,,,,,,,,,,
SP,43.2,C,3,35,37,,,,,,,,,
SP,43.2,C,2,30,38,41,,,,,,,,
SP,43.2,C,1,32,,,,,,,,,,
SP,43.2,B,6,16,22,,,,,,,,,
SP,43.2,B,5,18,,,,,,,,,,
SP,43.2,B,4,NA,,,,,,,,,,
SP,43.2,B,3,27,20,,,,,,,,,
SP,43.2,B,2,17,15,,,,,,,,,
SP,43.2,B,1,19,26,24,,,,,,,,
SP,43.2,A,6,8,9,,,,,,,,,
SP,43.2,A,5,3,7,,,,,,,,,
SP,43.2,A,4,6,,,,,,,,,,
SP,43.2,A,3,4,12,,,,,,,,,
SP,43.2,A,2,10,14,,,,,,,,,
SP,43.2,A,1,5,11,,,,,,,,,
SP,44.1,D,6,50,,,,,,,,,,
SP,44.1,D,5,55,57,,,,,,,,,
SP,44.1,D,4,54,59,,,,,,,,,
SP,44.1,D,3,53,58,,,,,,,,,
SP,44.1,D,2,52,,,,,,,,,,
SP,44.1,D,1,51,56,,,,,,,,,
SP,44.1,C,6,45,40,43,49,,,,,,,
SP,44.1,C,5,38,48,,,,,,,,,
SP,44.1,C,4,47,39,,,,,,,,,
SP,44.1,C,3,34,41,,,,,,,,,
SP,44.1,C,2,37,44,46,,,,,,,,
SP,44.1,C,1,36,42,,,,,,,,,
SP,44.1,B,6,16,24,31,32,,,,,,,
SP,44.1,B,5,21,28,,,,,,,,,
SP,44.1,B,4,20,23,27,25,30,,,,,,
SP,44.1,B,3,14,19,29,,,,,,,,
SP,44.1,B,2,15,18,26,22,,,,,,,
SP,44.1,B,1,17,,,,,,,,,,
SP,44.1,A,6,4,,,,,,,,,,
SP,44.1,A,5,5,,,,,,,,,,
SP,44.1,A,4,2,12,,,,,,,,,
SP,44.1,A,3,9,6,13,,,,,,,,
SP,44.1,A,2,3,7,11,,,,,,,,
SP,44.1,A,1,1,8,10,,,,,,,,
SP,44.2,D,6,48,,,,,,,,,,
SP,44.2,D,5,51,,,,,,,,,,
SP,44.2,D,4,49,57,,,,,,,,,
SP,44.2,D,3,55,60,,,,,,,,,
SP,44.2,D,2,50,54,56,58,,,,,,,
SP,44.2,D,1,53,59,,,,,,,,,
SP,44.2,C,6,35,33,34,45,,,,,,,
SP,44.2,C,5,31,,,,,,,,,,
SP,44.2,C,4,36,43,,,,,,,,,
SP,44.2,C,3,37,38,,,,,,,,,
SP,44.2,C,2,39,46,,,,,,,,,
SP,44.2,C,1,32,41,42,44,,,,,,,
SP,44.2,B,6,15,20,,,,,,,,,
SP,44.2,B,5,16,14,30,,,,,,,,
SP,44.2,B,4,29,22,27,17,24,,,,,,
SP,44.2,B,3,18,19,,,,,,,,,
SP,44.2,B,2,21,26,,,,,,,,,
SP,44.2,B,1,23,25,,,,,,,,,
SP,44.2,A,6,8,,,,,,,,,,
SP,44.2,A,5,3,,,,,,,,,,
SP,44.2,A,4,10,9,13,,,,,,,,
SP,44.2,A,3,6,,,,,,,,,,
SP,44.2,A,2,7,4,11,,,,,,,,
SP,44.2,A,1,5,12,,,,,,,,,
SP,45.1,D,6,68,70,80,,,,,,,,
SP,45.1,D,5,64,79,76,,,,,,,,
SP,45.1,D,4,66,71,74,,,,,,,,
SP,45.1,D,3,67,75,,,,,,,,,
SP,45.1,D,2,65,73,72,78,,,,,,,
SP,45.1,D,1,69,77,,,,,,,,,
SP,45.1,C,6,54,56,63,,,,,,,,
SP,45.1,C,5,50,57,,,,,,,,,
SP,45.1,C,4,52,59,58,,,,,,,,
SP,45.1,C,3,55,,,,,,,,,,
SP,45.1,C,2,49,53,61,62,,,,,,,
SP,45.1,C,1,51,60,,,,,,,,,
SP,45.1,B,6,38,44,34,,,,,,,,
SP,45.1,B,5,40,47,,,,,,,,,
SP,45.1,B,4,32,39,45,,,,,,,,
SP,45.1,B,3,35,,,,,,,,,,
SP,45.1,B,2,36,43,48,,,,,,,,
SP,45.1,B,1,29,31,,,,,,,,,
SP,45.1,A,6,15,17,21,,,,,,,,
SP,45.1,A,5,8,24,27,,,,,,,,
SP,45.1,A,4,3,6,12,20,,,,,,,
SP,45.1,A,3,9,10,16,,,,,,,,
SP,45.1,A,2,2,7,11,22,25,,,,,,
SP,45.1,A,1,4,5,18,23,,,,,,,
SP,45.2,D,6,51,57,61,,,,,,,,
SP,45.2,D,5,60,,,,,,,,,,
SP,45.2,D,4,52,56,62,65,,,,,,,
SP,45.2,D,3,54,63,,,,,,,,,
SP,45.2,D,2,59,58,,,,,,,,,
SP,45.2,D,1,53,,,,,,,,,,
SP,45.2,C,6,41,45,,,,,,,,,
SP,45.2,C,5,43,48,,,,,,,,,
SP,45.2,C,4,40,46,49,,,,,,,,
SP,45.2,C,3,44,,,,,,,,,,
SP,45.2,C,2,38,50,,,,,,,,,
SP,45.2,C,1,39,42,,,,,,,,,
SP,45.2,B,6,37,,,,,,,,,,
SP,45.2,B,5,24,28,32,,,,,,,,
SP,45.2,B,4,22,29,34,,,,,,,,
SP,45.2,B,3,27,26,,,,,,,,,
SP,45.2,B,2,21,25,30,31,,,,,,,
SP,45.2,B,1,23,,,,,,,,,,
SP,45.2,A,6,9,15,,,,,,,,,
SP,45.2,A,5,3,13,16,,,,,,,,
SP,45.2,A,4,11,10,,,,,,,,,
SP,45.2,A,3,5,6,14,,,,,,,,
SP,45.2,A,2,4,12,17,,,,,,,,
SP,45.2,A,1,7,,,,,,,,,,
DL,1.1,A,6,7,,,,,,,,,,
DL,1.1,A,5,4,,,,,,,,,,
DL,1.1,A,4,6,,,,,,,,,,
DL,1.1,A,3,5,,,,,,,,,,
DL,1.1,A,2,2,,,,,,,,,,
DL,1.1,A,1,3,,,,,,,,,,
DL,1.1,B,6,14,,,,,,,,,,
DL,1.1,B,5,9,,,,,,,,,,
DL,1.1,B,4,12,,,,,,,,,,
DL,1.1,B,3,11,,,,,,,,,,
DL,1.1,B,2,10,,,,,,,,,,
DL,1.1,B,1,13,8,,,,,,,,,
DL,1.1,C,6,18,,,,,,,,,,
DL,1.1,C,5,20,,,,,,,,,,
DL,1.1,C,4,17,,,,,,,,,,
DL,1.1,C,3,19,,,,,,,,,,
DL,1.1,C,2,15,,,,,,,,,,
DL,1.1,C,1,16,,,,,,,,,,
DL,1.1,D,6,27,26,,,,,,,,,
DL,1.1,D,5,23,,,,,,,,,,
DL,1.1,D,4,25,28,,,,,,,,,
DL,1.1,D,3,24,29,,,,,,,,,
DL,1.1,D,2,22,,,,,,,,,,
DL,1.1,D,1,21,,,,,,,,,,
DL,1.2,A,6,5,,,,,,,,,,
DL,1.2,A,5,7,,,,,,,,,,
DL,1.2,A,4,6,,,,,,,,,,
DL,1.2,A,3,8,4,,,,,,,,,
DL,1.2,A,2,3,,,,,,,,,,
DL,1.2,A,1,9,,,,,,,,,,
DL,1.2,B,6,13,15,,,,,,,,,
DL,1.2,B,5,17,,,,,,,,,,
DL,1.2,B,4,12,,,,,,,,,,
DL,1.2,B,3,10,,,,,,,,,,
DL,1.2,B,2,11,,,,,,,,,,
DL,1.2,B,1,14,16,,,,,,,,,
DL,1.2,C,6,20,,,,,,,,,,
DL,1.2,C,5,22,,,,,,,,,,
DL,1.2,C,4,18,25,26,,,,,,,,
DL,1.2,C,3,21,,,,,,,,,,
DL,1.2,C,2,19,,,,,,,,,,
DL,1.2,C,1,23,24,,,,,,,,,
DL,1.2,D,6,28,30,,,,,,,,,
DL,1.2,D,5,35,,,,,,,,,,
DL,1.2,D,4,34,,,,,,,,,,
DL,1.2,D,3,33,,,,,,,,,,
DL,1.2,D,2,31,,,,,,,,,,
DL,1.2,D,1,27,29,32,,,,,,,,
DL,2.1,A,6,5,8,,,,,,,,,
DL,2.1,A,5,7,3,,,,,,,,,
DL,2.1,A,4,1,,,,,,,,,,
DL,2.1,A,3,4,,,,,,,,,,
DL,2.1,A,2,2,,,,,,,,,,
DL,2.1,A,1,6,,,,,,,,,,
DL,2.1,B,6,14,15,18,,,,,,,,
DL,2.1,B,5,9,11,19,,,,,,,,
DL,2.1,B,4,16,,,,,,,,,,
DL,2.1,B,3,12,,,,,,,,,,
DL,2.1,B,2,10,20,17,,,,,,,,
DL,2.1,B,1,13,,,,,,,,,,
DL,2.1,C,6,24,,,,,,,,,,
DL,2.1,C,5,26,,,,,,,,,,
DL,2.1,C,4,25,,,,,,,,,,
DL,2.1,C,3,23,,,,,,,,,,
DL,2.1,C,2,22,,,,,,,,,,
DL,2.1,C,1,21,,,,,,,,,,
DL,2.1,D,6,32,35,,,,,,,,,
DL,2.1,D,5,30,33,34,,,,,,,,
DL,2.1,D,4,31,,,,,,,,,,
DL,2.1,D,3,29,,,,,,,,,,
DL,2.1,D,2,28,,,,,,,,,,
DL,2.1,D,1,27,,,,,,,,,,
DL,2.2,A,6,9,,,,,,,,,,
DL,2.2,A,5,6,10,13,12,11,,,,,,
DL,2.2,A,4,5,,,,,,,,,,
DL,2.2,A,3,3,,,,,,,,,,
DL,2.2,A,2,7,8,14,,,,,,,,
DL,2.2,A,1,4,,,,,,,,,,
DL,2.2,B,6,18,,,,,,,,,,
DL,2.2,B,5,19,,,,,,,,,,
DL,2.2,B,4,21,,,,,,,,,,
DL,2.2,B,3,20,15,,,,,,,,,
DL,2.2,B,2,17,,,,,,,,,,
DL,2.2,B,1,16,,,,,,,,,,
DL,2.2,C,6,30,27,,,,,,,,,
DL,2.2,C,5,28,29,24,,,,,,,,
DL,2.2,C,4,22,,,,,,,,,,
DL,2.2,C,3,25,,,,,,,,,,
DL,2.2,C,2,23,,,,,,,,,,
DL,2.2,C,1,26,,,,,,,,,,
DL,2.2,D,6,35,,,,,,,,,,
DL,2.2,D,5,32,37,,,,,,,,,
DL,2.2,D,4,36,,,,,,,,,,
DL,2.2,D,3,34,,,,,,,,,,
DL,2.2,D,2,31,,,,,,,,,,
DL,2.2,D,1,33,,,,,,,,,,
DL,3.1,A,6,6,,,,,,,,,,
DL,3.1,A,5,12,,,,,,,,,,
DL,3.1,A,4,3,11,13,,,,,,,,
DL,3.1,A,3,7,,,,,,,,,,
DL,3.1,A,2,10,8,,,,,,,,,
DL,3.1,A,1,4,9,2,5,,,,,,,
DL,3.1,B,6,14,22,23,,,,,,,,
DL,3.1,B,5,15,24,,,,,,,,,
DL,3.1,B,4,18,21,,,,,,,,,
DL,3.1,B,3,17,19,,,,,,,,,
DL,3.1,B,2,20,25,,,,,,,,,
DL,3.1,B,1,16,,,,,,,,,,
DL,3.1,C,6,33,27,,,,,,,,,
DL,3.1,C,5,26,34,,,,,,,,,
DL,3.1,C,4,28,36,,,,,,,,,
DL,3.1,C,3,32,31,,,,,,,,,
DL,3.1,C,2,29,,,,,,,,,,
DL,3.1,C,1,30,35,,,,,,,,,
DL,3.1,D,6,46,,,,,,,,,,
DL,3.1,D,5,41,44,47,,,,,,,,
DL,3.1,D,4,39,43,48,49,50,,,,,,
DL,3.1,D,3,40,,,,,,,,,,
DL,3.1,D,2,37,42,45,,,,,,,,
DL,3.1,D,1,38,,,,,,,,,,
DL,3.2,A,6,10,,,,,,,,,,
DL,3.2,A,5,7,5,11,12,,,,,,,
DL,3.2,A,4,4,3,,,,,,,,,
DL,3.2,A,3,8,,,,,,,,,,
DL,3.2,A,2,6,,,,,,,,,,
DL,3.2,A,1,2,9,,,,,,,,,
DL,3.2,B,6,14,21,19,,,,,,,,
DL,3.2,B,5,18,22,,,,,,,,,
DL,3.2,B,4,16,,,,,,,,,,
DL,3.2,B,3,15,,,,,,,,,,
DL,3.2,B,2,13,17,23,24,,,,,,,
DL,3.2,B,1,20,,,,,,,,,,
DL,3.2,C,6,30,26,34,,,,,,,,
DL,3.2,C,5,33,31,37,,,,,,,,
DL,3.2,C,4,32,27,,,,,,,,,
DL,3.2,C,3,29,,,,,,,,,,
DL,3.2,C,2,25,,,,,,,,,,
DL,3.2,C,1,28,35,36,,,,,,,,
DL,3.2,D,6,47,,,,,,,,,,
DL,3.2,D,5,46,51,44,49,,,,,,,
DL,3.2,D,4,41,50,,,,,,,,,
DL,3.2,D,3,45,52,54,,,,,,,,
DL,3.2,D,2,42,,,,,,,,,,
DL,3.2,D,1,40,43,48,39,38,,,,,,
DL,4.1,A,6,3,5,8,,,,,,,,
DL,4.1,A,5,7,,,,,,,,,,
DL,4.1,A,4,2,10,,,,,,,,,
DL,4.1,A,3,1,9,,,,,,,,,
DL,4.1,A,2,6,,,,,,,,,,
DL,4.1,A,1,4,,,,,,,,,,
DL,4.1,B,6,14,15,,,,,,,,,
DL,4.1,B,5,18,19,,,,,,,,,
DL,4.1,B,4,11,12,17,,,,,,,,
DL,4.1,B,3,20,,,,,,,,,,
DL,4.1,B,2,16,,,,,,,,,,
DL,4.1,B,1,13,,,,,,,,,,
DL,4.1,C,6,23,30,31,,,,,,,,
DL,4.1,C,5,25,,,,,,,,,,
DL,4.1,C,4,26,,,,,,,,,,
DL,4.1,C,3,24,29,,,,,,,,,
DL,4.1,C,2,27,28,21,,,,,,,,
DL,4.1,C,1,22,,,,,,,,,,
DL,4.1,D,6,41,43,,,,,,,,,
DL,4.1,D,5,40,,,,,,,,,,
DL,4.1,D,4,32,37,,,,,,,,,
DL,4.1,D,3,36,35,42,,,,,,,,
DL,4.1,D,2,33,38,39,,,,,,,,
DL,4.1,D,1,34,,,,,,,,,,
DL,4.2,A,6,6,,,,,,,,,,
DL,4.2,A,5,4,9,13,,,,,,,,
DL,4.2,A,4,7,,,,,,,,,,
DL,4.2,A,3,5,12,,,,,,,,,
DL,4.2,A,2,3,10,,,,,,,,,
DL,4.2,A,1,1,2,11,8,,,,,,,
DL,4.2,B,6,15,25,,,,,,,,,
DL,4.2,B,5,22,20,,,,,,,,,
DL,4.2,B,4,18,,,,,,,,,,
DL,4.2,B,3,24,19,,,,,,,,,
DL,4.2,B,2,17,21,23,,,,,,,,
DL,4.2,B,1,16,,,,,,,,,,
DL,4.2,C,6,26,,,,,,,,,,
DL,4.2,C,5,33,32,,,,,,,,,
DL,4.2,C,4,29,35,36,,,,,,,,
DL,4.2,C,3,30,,,,,,,,,,
DL,4.2,C,2,31,34,,,,,,,,,
DL,4.2,C,1,27,28,,,,,,,,,
DL,4.2,D,6,38,,,,,,,,,,
DL,4.2,D,5,44,48,,,,,,,,,
DL,4.2,D,4,40,45,,,,,,,,,
DL,4.2,D,3,43,39,,,,,,,,,
DL,4.2,D,2,41,40,37,47,,,,,,,
DL,4.2,D,1,42,,,,,,,,,,
DL,5.1,A,6,8,,,,,,,,,,
DL,5.1,A,5,7,12,,,,,,,,,
DL,5.1,A,4,10,,,,,,,,,,
DL,5.1,A,3,9,2,,,,,,,,,
DL,5.1,A,2,4,3,,,,,,,,,
DL,5.1,A,1,5,6,11,13,,,,,,,
DL,5.1,B,6,16,,,,,,,,,,
DL,5.1,B,5,14,19,,,,,,,,,
DL,5.1,B,4,18,,,,,,,,,,
DL,5.1,B,3,21,22,23,,,,,,,,
DL,5.1,B,2,17,,,,,,,,,,
DL,5.1,B,1,15,20,,,,,,,,,
DL,5.1,C,6,32,,,,,,,,,,
DL,5.1,C,5,29,30,,,,,,,,,
DL,5.1,C,4,27,,,,,,,,,,
DL,5.1,C,3,28,,,,,,,,,,
DL,5.1,C,2,24,26,,,,,,,,,
DL,5.1,C,1,25,31,33,,,,,,,,
DL,5.1,D,6,39,,,,,,,,,,
DL,5.1,D,5,37,42,47,,,,,,,,
DL,5.1,D,4,41,45,,,,,,,,,
DL,5.1,D,3,46,40,,,,,,,,,
DL,5.1,D,2,43,44,35,,,,,,,,
DL,5.1,D,1,34,36,38,48,,,,,,,
DL,5.2,A,6,7,,,,,,,,,,
DL,5.2,A,5,5,,,,,,,,,,
DL,5.2,A,4,3,9,,,,,,,,,
DL,5.2,A,3,6,8,13,,,,,,,,
DL,5.2,A,2,11,10,,,,,,,,,
DL,5.2,A,1,2,4,12,14,,,,,,,
DL,5.2,B,6,18,,,,,,,,,,
DL,5.2,B,5,23,,,,,,,,,,
DL,5.2,B,4,20,,,,,,,,,,
DL,5.2,B,3,17,25,,,,,,,,,
DL,5.2,B,2,19,22,,,,,,,,,
DL,5.2,B,1,16,21,24,15,,,,,,,
DL,5.2,C,6,27,,,,,,,,,,
DL,5.2,C,5,31,33,,,,,,,,,
DL,5.2,C,4,29,,,,,,,,,,
DL,5.2,C,3,30,,,,,,,,,,
DL,5.2,C,2,32,,,,,,,,,,
DL,5.2,C,1,26,28,,,,,,,,,
DL,5.2,D,6,34,38,,,,,,,,,
DL,5.2,D,5,43,,,,,,,,,,
DL,5.2,D,4,37,,,,,,,,,,
DL,5.2,D,3,35,42,44,,,,,,,,
DL,5.2,D,2,36,,,,,,,,,,
DL,5.2,D,1,40,39,41,,,,,,,,
DL,6.1,A,6,7,,,,,,,,,,
DL,6.1,A,5,3,8,,,,,,,,,
DL,6.1,A,4,10,12,,,,,,,,,
DL,6.1,A,3,4,9,,,,,,,,,
DL,6.1,A,2,6,5,,,,,,,,,
DL,6.1,A,1,2,11,,,,,,,,,
DL,6.1,B,6,19,,,,,,,,,,
DL,6.1,B,5,13,24,,,,,,,,,
DL,6.1,B,4,21,22,,,,,,,,,
DL,6.1,B,3,18,20,17,,,,,,,,
DL,6.1,B,2,15,,,,,,,,,,
DL,6.1,B,1,14,16,23,,,,,,,,
DL,6.1,C,6,31,29,,,,,,,,,
DL,6.1,C,5,27,34,,,,,,,,,
DL,6.1,C,4,30,,,,,,,,,,
DL,6.1,C,3,26,32,35,36,33,,,,,,
DL,6.1,C,2,28,,,,,,,,,,
DL,6.1,C,1,25,,,,,,,,,,
DL,6.1,D,6,40,,,,,,,,,,
DL,6.1,D,5,44,50,,,,,,,,,
DL,6.1,D,4,43,49,,,,,,,,,
DL,6.1,D,3,37,42,46,45,51,,,,,,
DL,6.1,D,2,38,41,,,,,,,,,
DL,6.1,D,1,47,39,48,,,,,,,,
DL,6.2,A,6,4,6,10,,,,,,,,
DL,6.2,A,5,8,,,,,,,,,,
DL,6.2,A,4,9,,,,,,,,,,
DL,6.2,A,3,3,7,11,,,,,,,,
DL,6.2,A,2,2,,,,,,,,,,
DL,6.2,A,1,5,,,,,,,,,,
DL,6.2,B,6,17,,,,,,,,,,
DL,6.2,B,5,13,18,22,,,,,,,,
DL,6.2,B,4,20,,,,,,,,,,
DL,6.2,B,3,12,15,23,,,,,,,,
DL,6.2,B,2,16,,,,,,,,,,
DL,6.2,B,1,19,14,21,,,,,,,,
DL,6.2,C,6,31,28,,,,,,,,,
DL,6.2,C,5,25,,,,,,,,,,
DL,6.2,C,4,29,,,,,,,,,,
DL,6.2,C,3,30,27,,,,,,,,,
DL,6.2,C,2,26,,,,,,,,,,
DL,6.2,C,1,24,,,,,,,,,,
DL,6.2,D,6,38,40,,,,,,,,,
DL,6.2,D,5,37,44,,,,,,,,,
DL,6.2,D,4,35,32,39,42,,,,,,,
DL,6.2,D,3,36,41,43,,,,,,,,
DL,6.2,D,2,33,,,,,,,,,,
DL,6.2,D,1,34,,,,,,,,,,
DL,7.1,A,6,7,,,,,,,,,,
DL,7.1,A,5,11,4,2,,,,,,,,
DL,7.1,A,4,8,,,,,,,,,,
DL,7.1,A,3,6,,,,,,,,,,
DL,7.1,A,2,5,9,10,,,,,,,,
DL,7.1,A,1,3,,,,,,,,,,
DL,7.1,B,6,18,19,29,,,,,,,,
DL,7.1,B,5,24,,,,,,,,,,
DL,7.1,B,4,26,20,30,,,,,,,,
DL,7.1,B,3,15,12,,,,,,,,,
DL,7.1,B,2,17,25,28,13,14,,,,,,
DL,7.1,B,1,16,23,21,22,27,,,,,,
DL,7.1,C,6,33,36,38,,,,,,,,
DL,7.1,C,5,41,,,,,,,,,,
DL,7.1,C,4,35,40,,,,,,,,,
DL,7.1,C,3,34,37,,,,,,,,,
DL,7.1,C,2,32,39,,,,,,,,,
DL,7.1,C,1,31,,,,,,,,,,
DL,7.1,D,6,48,,,,,,,,,,
DL,7.1,D,5,47,50,,,,,,,,,
DL,7.1,D,4,49,51,55,56,,,,,,,
DL,7.1,D,3,46,52,,,,,,,,,
DL,7.1,D,2,45,53,42,,,,,,,,
DL,7.1,D,1,44,43,54,,,,,,,,
DL,7.2,A,6,15,16,,,,,,,,,
DL,7.2,A,5,22,23,,,,,,,,,
DL,7.2,A,4,21,18,25,,,,,,,,
DL,7.2,A,3,17,19,,,,,,,,,
DL,7.2,A,2,24,14,,,,,,,,,
DL,7.2,A,1,20,,,,,,,,,,
DL,7.2,B,6,28,38,,,,,,,,,
DL,7.2,B,5,31,,,,,,,,,,
DL,7.2,B,4,29,35,,,,,,,,,
DL,7.2,B,3,36,34,,,,,,,,,
DL,7.2,B,2,33,39,30,40,,,,,,,
DL,7.2,B,1,32,37,27,26,,,,,,,
DL,7.2,C,6,28,38,,,,,,,,,
DL,7.2,C,5,31,,,,,,,,,,
DL,7.2,C,4,29,35,,,,,,,,,
DL,7.2,C,3,36,34,,,,,,,,,
DL,7.2,C,2,33,30,39,40,,,,,,,
DL,7.2,C,1,32,37,37,26,,,,,,,
DL,7.2,D,6,43,,,,,,,,,,
DL,7.2,D,5,46,,,,,,,,,,
DL,7.2,D,4,42,49,,,,,,,,,
DL,7.2,D,3,41,48,,,,,,,,,
DL,7.2,D,2,47,44,,,,,,,,,
DL,7.2,D,1,45,50,,,,,,,,,
DL,8.1,A,6,8,,,,,,,,,,
DL,8.1,A,5,9,,,,,,,,,,
DL,8.1,A,4,4,2,,,,,,,,,
DL,8.1,A,3,7,,,,,,,,,,
DL,8.1,A,2,5,,,,,,,,,,
DL,8.1,A,1,6,3,,,,,,,,,
DL,8.1,B,6,13,,,,,,,,,,
DL,8.1,B,5,14,,,,,,,,,,
DL,8.1,B,4,15,,,,,,,,,,
DL,8.1,B,3,16,17,10,,,,,,,,
DL,8.1,B,2,12,,,,,,,,,,
DL,8.1,B,1,11,,,,,,,,,,
DL,8.1,C,6,23,,,,,,,,,,
DL,8.1,C,5,22,,,,,,,,,,
DL,8.1,C,4,24,25,28,,,,,,,,
DL,8.1,C,3,18,21,,,,,,,,,
DL,8.1,C,2,19,27,,,,,,,,,
DL,8.1,C,1,26,20,,,,,,,,,
DL,8.1,D,6,34,,,,,,,,,,
DL,8.1,D,5,31,38,39,,,,,,,,
DL,8.1,D,4,30,36,,,,,,,,,
DL,8.1,D,3,35,,,,,,,,,,
DL,8.1,D,2,32,37,29,,,,,,,,
DL,8.1,D,1,33,,,,,,,,,,
DL,8.2,A,6,7,,,,,,,,,,
DL,8.2,A,5,6,,,,,,,,,,
DL,8.2,A,4,4,,,,,,,,,,
DL,8.2,A,3,5,,,,,,,,,,
DL,8.2,A,2,3,8,,,,,,,,,
DL,8.2,A,1,2,,,,,,,,,,
DL,8.2,B,6,13,17,,,,,,,,,
DL,8.2,B,5,14,,,,,,,,,,
DL,8.2,B,4,9,18,,,,,,,,,
DL,8.2,B,3,10,,,,,,,,,,
DL,8.2,B,2,16,15,11,19,,,,,,,
DL,8.2,B,1,12,,,,,,,,,,
DL,8.2,C,6,22,30,,,,,,,,,
DL,8.2,C,5,24,21,,,,,,,,,
DL,8.2,C,4,23,29,,,,,,,,,
DL,8.2,C,3,28,20,,,,,,,,,
DL,8.2,C,2,27,25,,,,,,,,,
DL,8.2,C,1,26,,,,,,,,,,
DL,8.2,D,6,35,,,,,,,,,,
DL,8.2,D,5,34,40,42,43,,,,,,,
DL,8.2,D,4,32,38,,,,,,,,,
DL,8.2,D,3,37,,,,,,,,,,
DL,8.2,D,2,33,31,,,,,,,,,
DL,8.2,D,1,39,36,,,,,,,,,
DL,9.1,A,6,2,,,,,,,,,,
DL,9.1,A,5,4,,,,,,,,,,
DL,9.1,A,4,6,1,,,,,,,,,
DL,9.1,A,3,5,,,,,,,,,,
DL,9.1,A,2,3,,,,,,,,,,
DL,9.1,A,1,7,,,,,,,,,,
DL,9.1,B,6,13,,,,,,,,,,
DL,9.1,B,5,14,10,,,,,,,,,
DL,9.1,B,4,9,,,,,,,,,,
DL,9.1,B,3,12,,,,,,,,,,
DL,9.1,B,2,15,16,,,,,,,,,
DL,9.1,B,1,8,11,,,,,,,,,
DL,9.1,C,6,24,,,,,,,,,,
DL,9.1,C,5,22,25,,,,,,,,,
DL,9.1,C,4,23,,,,,,,,,,
DL,9.1,C,3,21,17,,,,,,,,,
DL,9.1,C,2,20,27,,,,,,,,,
DL,9.1,C,1,18,19,28,29,26,,,,,,
DL,9.1,D,6,33,,,,,,,,,,
DL,9.1,D,5,35,38,,,,,,,,,
DL,9.1,D,4,32,,,,,,,,,,
DL,9.1,D,3,36,,,,,,,,,,
DL,9.1,D,2,34,,,,,,,,,,
DL,9.1,D,1,31,30,37,39,,,,,,,
DL,9.2,A,6,6,,,,,,,,,,
DL,9.2,A,5,2,9,1,,,,,,,,
DL,9.2,A,4,3,,,,,,,,,,
DL,9.2,A,3,10,,,,,,,,,,
DL,9.2,A,2,4,8,,,,,,,,,
DL,9.2,A,1,5,7,11,12,,,,,,,
DL,9.2,B,6,18,21,,,,,,,,,
DL,9.2,B,5,19,,,,,,,,,,
DL,9.2,B,4,15,,,,,,,,,,
DL,9.2,B,3,17,,,,,,,,,,
DL,9.2,B,2,13,14,,,,,,,,,
DL,9.2,B,1,16,20,,,,,,,,,
DL,9.2,C,6,26,,,,,,,,,,
DL,9.2,C,5,25,30,,,,,,,,,
DL,9.2,C,4,24,,,,,,,,,,
DL,9.2,C,3,29,,,,,,,,,,
DL,9.2,C,2,28,27,,,,,,,,,
DL,9.2,C,1,22,23,31,,,,,,,,
DL,9.2,D,6,36,,,,,,,,,,
DL,9.2,D,5,35,38,,,,,,,,,
DL,9.2,D,4,37,,,,,,,,,,
DL,9.2,D,3,34,,,,,,,,,,
DL,9.2,D,2,33,,,,,,,,,,
DL,9.2,D,1,32,,,,,,,,,,
DL,10.1,A,6,4,,,,,,,,,,
DL,10.1,A,5,2,,,,,,,,,,
DL,10.1,A,4,3,7,11,,,,,,,,
DL,10.1,A,3,5,,,,,,,,,,
DL,10.1,A,2,9,8,,,,,,,,,
DL,10.1,A,1,6,10,,,,,,,,,
DL,10.1,B,6,14,,,,,,,,,,
DL,10.1,B,5,16,,,,,,,,,,
