id,Plate,Plate Rep,Genotype,Salt,Microbes,Row,Column,lon,lat,conc_corrected,BZT_percent_d,X10.FN,od600,od750,BZTalanine,glycosylatedBZT,BZTacetylalanine,aniline,amino_3_phenol,phenazine,methylBZT,methoxyBZT,km,density
12.1.C4,12,1,LnH,0.8,No,C,4,81.305495,44.900322,0.0316191078,96.8380892192,2,0.055,0.05,0,0,0,1.04E-011,0,4.15E-012,0,2.64E-012,206.7424140098,980.5629265144
12.1.C6,12,1,Mnt,0.8,No,C,6,76.7704,42.98299,0.0438643536,95.6135646368,2,0.063,0.0545,0,9.99E-013,0,8.90E-012,0,0,0,2.30E-012,224.3682753121,1575.1106351569
12.2.C1,12,2,Arb,0.8,Yes,C,1,79.7485,43.4353,0.1035272148,89.6472785232,2,0.0505,0.0445,0,4.44E-012,0,5.54E-012,0,0,6.38E-012,1.30E-012,38.1731833599,7263.8327417287
12.2.C4,12,2,LnH,0.8,Yes,C,4,81.305495,44.900322,0.1047307721,89.526922792,1,0.0475,0.044,0,8.45E-012,0,8.15E-012,0,0,9.72E-012,1.05E-012,206.7424140098,980.5629265144
12.2.C6,12,2,Mnt,0.8,Yes,C,6,76.7704,42.98299,0.1088677627,89.1132237267,5,0.0415,0.04,1.27E-011,4.40E-012,0,3.12E-012,0,0,1.06E-011,0,224.3682753121,1575.1106351569
15.1.A1,15,1,Cmb,0,Yes,A,1,79.975472,43.493389,0.0677308654,93.2269134597,5,0.3295,0.3225,0,5.12E-012,8.36E-013,1.97E-011,0,0,1.50E-011,9.34E-013,50.9720032175,1443.2913184651
15.1.C1,15,1,Cmb,0,No,C,1,79.975472,43.493389,0.1734986891,82.6501310891,2,0.045,0.0435,0,9.06E-012,0,6.37E-012,8.05E-012,2.80E-012,5.40E-012,6.99E-013,50.9720032175,1443.2913184651
15.2.A1,15,2,Cmb,0.8,No,A,1,79.975472,43.493389,0.067091899,93.2908101013,7,0.053,0.0495,0,9.81E-012,0,5.44E-011,0,1.15E-012,9.89E-012,7.06E-013,50.9720032175,1443.2913184651
15.2.B1,15,2,Cmb,0.8,Yes,B,1,79.975472,43.493389,0.1408891943,85.9110805732,3,0.085,0.0775,0,7.11E-012,0,6.18E-012,1.71E-011,0,7.81E-012,8.71E-013,50.9720032175,1443.2913184651
16.1.A1,16,1,Kls,0,Yes,A,1,79.945209,43.505815,0.1496080275,85.0391972508,9,0.068,0.057,0,1.17E-011,0,1.48E-012,0,3.34E-012,0,4.81E-012,48.1996629383,2000.1241797469
16.1.C1,16,1,Kls,0,No,C,1,79.945209,43.505815,0.0917251724,90.8274827629,10,0.065,0.0545,6.26E-012,8.71E-012,8.86E-013,8.39E-012,1.54E-011,2.11E-012,1.33E-011,6.25E-013,48.1996629383,2000.1241797469
16.1.D1,16,1,Kls,0.8,Yes,D,1,79.945209,43.505815,0.1420163078,85.7983692178,8,0.0545,0.046,6.15E-011,3.47E-012,0,1.18E-011,0,0,0,3.76E-013,48.1996629383,2000.1241797469
16.2.B1,16,2,Kls,0.8,No,B,1,79.945209,43.505815,0.1829228858,81.7077114172,4,0.061,0.048,0,7.18E-012,0,2.44E-011,0,7.19E-012,4.37E-012,6.06E-013,48.1996629383,2000.1241797469
17.1.B4,17,1,Cnp,0,Yes,B,4,78.934218,43.938637,0.0920848789,90.7915121071,9,0.0455,0.0445,0,1.34E-011,0,5.02E-012,0,0,1.59E-011,2.42E-012,48.074133906,6404.050772111
17.1.C4,17,1,Cnp,0,No,C,4,78.934218,43.938637,0.1181513109,88.1848689123,4,0.1985,0.174,0,9.67E-012,0,2.22E-012,0,0,5.68E-012,2.52E-012,48.074133906,6404.050772111
17.1.D4,17,1,Cnp,0.8,Yes,D,4,78.934218,43.938637,0.0855048206,91.4495179442,8,0.1095,0.1045,0,1.43E-011,0,4.13E-012,0,0,6.31E-012,9.71E-013,48.074133906,6404.050772111
17.2.C4,17,2,Cnp,0.8,No,C,4,78.934218,43.938637,0.0880514198,91.1948580204,4,0.055,0.0505,0,7.35E-012,0,7.74E-012,0,0,8.02E-012,6.30E-013,48.074133906,6404.050772111
18.1.C1,18,1,Okb,0,No,C,1,79.439167,43.824444,0.2653618967,73.4638103272,4,0.056,0.052,1.08E-011,1.17E-011,0,6.74E-013,0,0,1.08E-011,6.02E-013,19.5870370722,9343.0020071955
18.1.C2,18,1,Nnq,0,No,C,2,78.9723,44.17564,0.116425707,88.3574293044,2,0.0425,0.0435,0,4.01E-012,0,6.31E-012,1.98E-011,0,1.19E-011,2.74E-012,66.8435025837,1100.9134211108
18.1.C5,18,1,RdM,0,No,C,5,76.743675,44.769978,0.2258880599,77.4111940126,5,0.0565,0.0505,0,4.10E-012,0,7.84E-012,1.70E-011,0,6.80E-012,2.20E-012,244.5447241801,1120.5178111356
18.2.B1,18,2,Okb,0.8,No,B,1,79.439167,43.824444,0.1612936199,83.8706380055,5,0.0605,0.054,5.94E-012,1.28E-011,0,5.68E-012,0,0,6.65E-012,0,19.5870370722,9343.0020071955
18.2.B2,18,2,Nnq,0.8,No,B,2,78.9723,44.17564,0.0787165687,92.128343126,1,0.0725,0.0745,0,0,0,3.75E-012,0,0,0,1.03E-012,66.8435025837,1100.9134211108
18.2.B5,18,2,RdM,0.8,No,B,5,76.743675,44.769978,0.1246908956,87.5309104352,5,0.0565,0.0485,0,3.07E-012,1.78E-012,7.47E-012,1.15E-011,5.41E-012,7.27E-012,1.60E-012,244.5447241801,1120.5178111356
18.2.C1,18,2,Okb,0.8,Yes,C,1,79.439167,43.824444,0.137653555,86.2346445023,0,0.07,0.056,0,5.09E-013,1.11E-012,1.49E-011,0,3.95E-012,4.63E-012,4.88E-013,19.5870370722,9343.0020071955
18.2.C2,18,2,Nnq,0.8,Yes,C,2,78.9723,44.17564,0.0425261878,95.7473812171,3,0.0645,0.0705,0,5.99E-013,0,2.92E-012,0,0,0,4.05E-013,66.8435025837,1100.9134211108
18.2.C5,18,2,RdM,0.8,Yes,C,5,76.743675,44.769978,0.0940788345,90.5921165517,3,0.0635,0.054,0,0,0,5.74E-013,0,4.33E-012,8.02E-012,9.80E-013,244.5447241801,1120.5178111356
18.2.D1,18,2,Okb,0,Yes,D,1,79.439167,43.824444,0.2340688004,76.5931199632,3,0.0535,0.0485,0,7.87E-012,0,7.99E-012,1.44E-011,0,5.27E-012,1.31E-012,19.5870370722,9343.0020071955
18.2.D2,18,2,Nnq,0,Yes,D,2,78.9723,44.17564,0.0812036438,91.8796356214,2,0.054,0.0545,0,0,0,7.42E-012,0,0,0,9.13E-013,66.8435025837,1100.9134211108
18.2.D5,18,2,RdM,0,Yes,D,5,76.743675,44.769978,0.256317691,74.3682309005,5,0.0555,0.0495,8.13E-012,4.62E-012,0,5.70E-012,1.65E-011,0,9.24E-012,2.37E-012,244.5447241801,1120.5178111356
19.1.B1,19,1,Mdv,0,Yes,B,1,79.7357,43.6211,0.1181513109,88.1848689123,4,0.0455,0.0415,0,3.61E-012,0,1.89E-011,0,0,2.02E-011,0,28.6229455005,8397.5387875238
